"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Commodity Futures Trading Commission","Agency Overall","2018","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2018","0","1","0","0","1","1","0","0","0","0","2","0","0","0"
"United States African Development Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2018","0","0","9","4","93","27","311","0","29","1","1","0","9","0"
"Department of Homeland Security","Agency Overall","2018","0","13","449","16","430","2122","21","243","2717","9","3381","24","0","0"
"National Indian Gaming Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2018","0","0","0","1","2","1","0","0","0","0","0","0","0","0"
"National Commission on Military, National, and Public Service","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2018","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","0","0","0","0","1","2","0","0","0","0","0","0","1","0"
"Department of Agriculture","Agency Overall","2018","0","0","12","15","62","102","2","0","73","8","62","3","0","1"
"Court Services and Offender Supervision Agency","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2018","0","1","0","3","5","8","1","0","1","0","1","3","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2018","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2018","0","1","0","0","2","1","1","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2018","0","0","0","1","9","16","5","0","11","0","0","2","0","0"
"Office of National Drug Control Policy","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2018","0","0","0","1","1","4","1","0","2","0","1","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2018","0","0","0","1","0","1","1","0","1","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2018","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Department of the Treasury","Agency Overall","2018","1","2","57","10","40","34","20","0","20","0","32","0","6","0"
"Office of Personnel Management","Agency Overall","2018","0","0","1","0","0","10","0","0","5","6","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"National Railroad Passenger Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2018","0","1","2","7","10","37","1","0","17","2","2","1","0","0"
"U.S. Department of State","Agency Overall","2018","22","0","68","0","7","7","3","0","7","1","6","2","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2018","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2018","0","0","0","0","2","1","0","0","0","0","0","0","1","0"
"U.S. Agency for International Development","Agency Overall","2018","0","0","0","0","5","3","0","0","0","0","0","0","0","0"
