"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Commodity Futures Trading Commission","Agency Overall","2018","8","10","2","5.17"
"Merit Systems Protection Board","Agency Overall","2018","1","3","89","71"
"United States African Development Foundation","Agency Overall","2018","1","0","15","15"
"Securities and Exchange Commission","Agency Overall","2018","101","353","1","1.58"
"Department of Homeland Security","Agency Overall","2018","1278","658","1","7.36"
"National Indian Gaming Commission","Agency Overall","2018","3","7","7","70"
"Office of Government Ethics","Agency Overall","2018","0","0","N/A","N/A"
"National Commission on Military, National, and Public Service","Agency Overall","2018","2","0","2","3"
"National Mediation Board","Agency Overall","2018","1","0","1","1"
"U.S. Agency for Global Media","Agency Overall","2018","14","2","5.1","16.2"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2018","8","37","1","5.93"
"Department of Agriculture","Agency Overall","2018","1244","82","1","20.59"
"Court Services and Offender Supervision Agency","Agency Overall","2018","0","0","N/A","N/A"
"General Services Administration","Agency Overall","2018","37","110","1","1.24"
"Federal Mediation and Conciliation Service","Agency Overall","2018","0","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0","N/A","N/A"
"Peace Corps","Agency Overall","2018","18","1","1","1"
"Department of Education","Agency Overall","2018","519","86","1","5.82"
"Office of National Drug Control Policy","Agency Overall","2018","0","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2018","16","37","1","2.63"
"Armed Forces Retirement Home","Agency Overall","2018","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2018","3","0","1","1.3"
"Federal Communications Commission","Agency Overall","2018","0","10","5.5","10.1"
"Legal Services Corporation","Agency Overall","2018","1","2","20.5","21.5"
"United States International Trade Commission","Agency Overall","2018","0","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2018","0","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","0","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2018","171","28","2","4.6"
"Office of Personnel Management","Agency Overall","2018","15","7","1","1"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2018","9","0","1","1"
"United States Trade and Development Agency","Agency Overall","2018","9","0","1","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0","N/A","N/A"
