"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Commodity Futures Trading Commission","Agency Overall","2018","1","0","0","0","1"
"Merit Systems Protection Board","Agency Overall","2018","3","4","0","1","8"
"United States African Development Foundation","Agency Overall","2018","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2018","514","26","87","10","637"
"Department of Homeland Security","Agency Overall","2018","1420","1463","1606","838","5327"
"National Indian Gaming Commission","Agency Overall","2018","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2018","4","0","1","0","5"
"National Commission on Military, National, and Public Service","Agency Overall","2018","1","0","0","0","1"
"National Mediation Board","Agency Overall","2018","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2018","1","0","2","0","3"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","15","7","28","3","53"
"Department of Agriculture","Agency Overall","2018","40","99","13","98","250"
"Court Services and Offender Supervision Agency","Agency Overall","2018","0","0","0","0","0"
"General Services Administration","Agency Overall","2018","30","5","2","4","41"
"Federal Mediation and Conciliation Service","Agency Overall","2018","2","0","0","0","2"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0","0","0","0"
"Peace Corps","Agency Overall","2018","2","1","3","1","7"
"Department of Education","Agency Overall","2018","12","14","11","16","53"
"Office of National Drug Control Policy","Agency Overall","2018","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2018","34","5","5","6","50"
"Armed Forces Retirement Home","Agency Overall","2018","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2018","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2018","0","0","4","31","35"
"Legal Services Corporation","Agency Overall","2018","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2018","1","0","1","0","2"
"Inter-American Foundation","Agency Overall","2018","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","1","0","0","0","1"
"Department of the Treasury","Agency Overall","2018","141","12","5","2","160"
"Office of Personnel Management","Agency Overall","2018","22","5","14","21","62"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","0","0","0","11","11"
"United States Trade and Development Agency","Agency Overall","2018","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2018","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2018","7","1","1","1","10"
"National Railroad Passenger Corporation","Agency Overall","2018","0","0","2","3","5"
"Department of Health and Human Services","Agency Overall","2018","19","8","5","138","170"
"U.S. Department of State","Agency Overall","2018","118","63","27","20","228"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","0","0","1","1"
"Office of the United States Trade Representative","Agency Overall","2018","2","1","0","1","4"
"Federal Reserve System","Agency Overall","2018","4","0","0","1","5"
"U.S. Agency for International Development","Agency Overall","2018","7","5","1","3","16"
"U.S. Election Assistance Commission","Agency Overall","2018","0","0","0","0","0"
"Small Business Administration","Agency Overall","2018","11","4","6","7","28"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","1","0","0","0","1"
"Presidio Trust","Agency Overall","2018","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2018","4","1","1","2","8"
"Farm Credit Administration","Agency Overall","2018","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2018","3","0","1","1","5"
"Department of Commerce","Agency Overall","2018","22","18","7","19","66"
"United States Institute of Peace","Agency Overall","2018","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2018","79","3","9","29","120"
"Overseas Private Investment Corporation","Agency Overall","2018","0","0","0","0","0"
"Selective Service System","Agency Overall","2018","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","1","1","1","0","3"
"United States International Boundary and Water Commission","Agency Overall","2018","0","1","0","0","1"
"Department of Justice","Agency Overall","2018","2615","183","362","862","4022"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0","0","0","0"
"United States Access Board","Agency Overall","2018","0","0","0","0","0"
