"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Commodity Futures Trading Commission","Agency Overall","2018","1","0.75","1.75"
"Merit Systems Protection Board","Agency Overall","2018","1","1.01","2.01"
"United States African Development Foundation","Agency Overall","2018","0","0.06","0.06"
"Securities and Exchange Commission","Agency Overall","2018","34","10.00","44.00"
"Department of Homeland Security","Agency Overall","2018","398","193.08","591.08"
"National Indian Gaming Commission","Agency Overall","2018","0","0.75","0.75"
"Office of Government Ethics","Agency Overall","2018","0","2.90","2.90"
"National Commission on Military, National, and Public Service","Agency Overall","2018","0","0.50","0.50"
"National Mediation Board","Agency Overall","2018","0","1.00","1.00"
"U.S. Agency for Global Media","Agency Overall","2018","0","0.75","0.75"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0.50","0.50"
"Consumer Financial Protection Bureau","Agency Overall","2018","4","1.00","5.00"
"Department of Agriculture","Agency Overall","2018","96","176.11","272.11"
"Court Services and Offender Supervision Agency","Agency Overall","2018","3","2.53","5.53"
"General Services Administration","Agency Overall","2018","12","5.78","17.78"
"Federal Mediation and Conciliation Service","Agency Overall","2018","1","0.00","1.00"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0.05","0.05"
"Peace Corps","Agency Overall","2018","1","2.10","3.10"
"Department of Education","Agency Overall","2018","12","45.96","57.96"
"Office of National Drug Control Policy","Agency Overall","2018","0","0.70","0.70"
"Department of Housing and Urban Development","Agency Overall","2018","30","48.00","78.00"
"Armed Forces Retirement Home","Agency Overall","2018","0","1.00","1.00"
"National Capital Planning Commission","Agency Overall","2018","0","0.05","0.05"
"Federal Communications Commission","Agency Overall","2018","6","9.88","15.88"
"Legal Services Corporation","Agency Overall","2018","0","0.60","0.60"
"United States International Trade Commission","Agency Overall","2018","0","3.00","3.00"
"Inter-American Foundation","Agency Overall","2018","0","0.20","0.20"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","1","0.00","1.00"
"Department of the Treasury","Agency Overall","2018","45","91.80","136.80"
"Office of Personnel Management","Agency Overall","2018","5","13.27","18.27"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0.08","0.08"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0.05","0.05"
"Office of the Director of National Intelligence","Agency Overall","2018","11","0.00","11.00"
"United States Trade and Development Agency","Agency Overall","2018","0","0.25","0.25"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0.25","0.25"
"Appraisal Subcommittee","Agency Overall","2018","0","0.50","0.50"
"U.S. Railroad Retirement Board","Agency Overall","2018","0","3.00","3.00"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","0.25","0.25"
"Federal Deposit Insurance Corporation","Agency Overall","2018","7","5.00","12.00"
"National Railroad Passenger Corporation","Agency Overall","2018","1","1.00","2.00"
"Department of Health and Human Services","Agency Overall","2018","228","92.13","320.13"
"U.S. Department of State","Agency Overall","2018","212","63.60","275.60"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","1.49","1.49"
"Office of the United States Trade Representative","Agency Overall","2018","0","1.70","1.70"
"Federal Reserve System","Agency Overall","2018","5","11.00","16.00"
"U.S. Agency for International Development","Agency Overall","2018","19","8.90","27.90"
"U.S. Election Assistance Commission","Agency Overall","2018","0","0.25","0.25"
"Small Business Administration","Agency Overall","2018","4","0.00","4.00"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","0","0.25","0.25"
"Presidio Trust","Agency Overall","2018","0","0.05","0.05"
"Office of Science and Technology Policy","Agency Overall","2018","0","1.25","1.25"
"Farm Credit Administration","Agency Overall","2018","0","2.00","2.00"
"Federal Housing Finance Agency","Agency Overall","2018","0","2.25","2.25"
"Department of Commerce","Agency Overall","2018","86","34.15","120.15"
"United States Institute of Peace","Agency Overall","2018","0","0.05","0.05"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0.50","0.50"
"Nuclear Regulatory Commission","Agency Overall","2018","9","4.00","13.00"
"Overseas Private Investment Corporation","Agency Overall","2018","0","1.10","1.10"
"Selective Service System","Agency Overall","2018","0","0.15","0.15"
"Export-Import Bank of the U.S.","Agency Overall","2018","4","0.68","4.68"
"United States International Boundary and Water Commission","Agency Overall","2018","0","1.00","1.00"
"Department of Justice","Agency Overall","2018","419","76.93","495.93"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0.05","0.05"
"United States Access Board","Agency Overall","2018","0","0.12","0.12"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0.05","0.05"
"Office of Management and Budget","Agency Overall","2018","1","2.50","3.50"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","0.10","0.10"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","0","0.10","0.10"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","8","1.46","9.46"
"Central Intelligence Agency","Agency Overall","2018","52","25.00","77.00"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","0","0.50","0.50"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0.25","0.25"
"National Council on Disability","Agency Overall","2018","0","0.05","0.05"
"Postal Regulatory Commission","Agency Overall","2018","0","1.00","1.00"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0.00","0.00"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","0","0.75","0.75"
"Federal Maritime Commission","Agency Overall","2018","1","1.02","2.02"
"National Labor Relations Board","Agency Overall","2018","16","2.00","18.00"
"National Aeronautics and Space Administration","Agency Overall","2018","8","2.75","10.75"
"Department of Veterans Affairs","Agency Overall","2018","42","210.31","252.31"
"Commission of Fine Arts","Agency Overall","2018","0","0.70","0.70"
"Department of Energy","Agency Overall","2018","87","10.26","97.26"
"Environmental Protection Agency","Agency Overall","2018","107","105.99","212.99"
"National Endowment for the Humanities","Agency Overall","2018","0","1.25","1.25"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","2.00","2.00"
"Department of Labor","Agency Overall","2018","42","126.95","168.95"
"Federal Labor Relations Authority","Agency Overall","2018","0","0.31","0.31"
"National Science Foundation","Agency Overall","2018","1","1.20","2.20"
"Federal Energy Regulatory Commission","Agency Overall","2018","1","2.34","3.34"
"Federal Trade Commission","Agency Overall","2018","7","4.92","11.92"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","1","0.00","1.00"
"Marine Mammal Commission","Agency Overall","2018","0","0.10","0.10"
"Office of Special Counsel","Agency Overall","2018","5","3.83","8.83"
"United States Postal Service","Agency Overall","2018","19","29.00","48.00"
"Equal Employment Opportunity Commission","Agency Overall","2018","41","17.52","58.52"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","0","0.70","0.70"
"Department of the Interior","Agency Overall","2018","69","73.43","142.43"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","0","1.00","1.00"
"Denali Commission","Agency Overall","2018","0","0.05","0.05"
