"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Commodity Futures Trading Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Merit Systems Protection Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-27","1","2018-09-14","10","2018-08-21","27","2018-08-21","27","2018-08-21","27"
"United States African Development Foundation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Securities and Exchange Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-28","1","2018-09-28","1","2018-09-27","2","2018-09-20","6","2018-09-11","13","2018-09-05","17"
"Department of Homeland Security","Agency Overall","2018","2017-07-10","320","2017-04-26","373","2017-02-03","425","2017-01-17","429","2016-10-18","489","2016-08-05","541","2016-07-22","551","2016-07-14","557","2015-09-03","770","2014-06-06","1083"
"National Indian Gaming Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Government Ethics","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Commission on Military, National, and Public Service","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-26","2"
"National Mediation Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for Global Media","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-28","1","2018-09-12","12"
"Department of Agriculture","Agency Overall","2018","2012-04-02","1628","2012-04-02","1628","2012-04-02","1628","2011-10-20","1739","2011-10-06","1748","2011-09-20","1760","2011-08-24","1778","2011-08-18","1782","2011-07-08","1811","2011-05-16","1848"
"Court Services and Offender Supervision Agency","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2018","2018-03-16","137","2018-02-09","161","2018-01-22","175","2018-01-16","179","2018-01-04","186","2018-01-04","186","2017-11-03","226","2017-10-31","229","2017-07-26","296","2017-05-09","350"
"Federal Mediation and Conciliation Service","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
