"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Commodity Futures Trading Commission","Agency Overall","2018","33","0"
"Merit Systems Protection Board","Agency Overall","2018","47","3"
"United States African Development Foundation","Agency Overall","2018","0","0"
"Securities and Exchange Commission","Agency Overall","2018","112","0"
"Department of Homeland Security","Agency Overall","2018","53971","237"
"National Indian Gaming Commission","Agency Overall","2018","9","0"
"Office of Government Ethics","Agency Overall","2018","60","0"
"National Commission on Military, National, and Public Service","Agency Overall","2018","1","0"
"National Mediation Board","Agency Overall","2018","0","0"
"U.S. Agency for Global Media","Agency Overall","2018","4","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","114","0"
"Department of Agriculture","Agency Overall","2018","2407","838"
"Court Services and Offender Supervision Agency","Agency Overall","2018","4","0"
"General Services Administration","Agency Overall","2018","246","14"
"Federal Mediation and Conciliation Service","Agency Overall","2018","14","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0"
"Peace Corps","Agency Overall","2018","56","0"
"Department of Education","Agency Overall","2018","857","68"
"Office of National Drug Control Policy","Agency Overall","2018","21","0"
"Department of Housing and Urban Development","Agency Overall","2018","860","14"
"Armed Forces Retirement Home","Agency Overall","2018","0","0"
"National Capital Planning Commission","Agency Overall","2018","0","0"
"Federal Communications Commission","Agency Overall","2018","9","11"
"Legal Services Corporation","Agency Overall","2018","0","0"
"United States International Trade Commission","Agency Overall","2018","0","0"
"Inter-American Foundation","Agency Overall","2018","1","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","6","0"
"Department of the Treasury","Agency Overall","2018","1453","115"
"Office of Personnel Management","Agency Overall","2018","215","45"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","539","38"
