"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Commodity Futures Trading Commission","Agency Overall","2018","7 U.S.C. § 12(a)(1) (Commodity Exchange Act)","Hunt v. Commodity Futures Trading Comm’n, 484 F. Supp. 47, 49 (D.D.C. 1979).","“[D]ata and information that would separately disclose the business transactions or market positions of any person and trade secrets or names of customers,” as well as certain other information concerning, or obtained in, the course of the Commission’s investigation under the Commodity Exchange Act","12"
"Merit Systems Protection Board","Agency Overall","2018","10 U.S.C. § 130b","Hall v. CIA, No. 04-00814, 2012 WL 3143839, at *16 (D.D.C. Aug. 3, 2012); Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007); O'Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).","Personally identifiable information pertaining to members of the armed forces assigned to ""routinely deployable unit[s]"" and certain employees of DOD and DHS.","1"
"Merit Systems Protection Board","Agency Overall","2018","26 U.S.C. §§ 6103, 6105","Church of Scientology v. IRS, 484 U.S. 9 (1987); Leonard v. US Dep't of Treasury, 590 F. App'x. 141 (3d Cir. 2014); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438 (9th Cir. 2010); Tax Analysts v. IRS, 217 F. Supp. 2d 23 (D.D.C. 2002)","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information.","1"
"Merit Systems Protection Board","Agency Overall","2018","49 U.S.C. § 114","Skurow v. DHS, No. 11-1296, 2012 WL 4380895 at *9-10 (D.D.C. Sept. 26, 2012); Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006), aff'd on other grounds, 586 F.3d 1006 (D.C. Cir. 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Information obtained or developed in carrying out security under the authority of the Aviation and Transporation Security Act or under chapter 449 of this title.","1"
"Merit Systems Protection Board","Agency Overall","2018","49 U.S.C. § 40119(b) (Federal Aviation Act)","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Certain information obtained or developed in ensuring transportaion security if disclosure of that information would: constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety.","1"
"Merit Systems Protection Board","Agency Overall","2018","50 U.S.C. § 403-1(i)(1) (currently at 50 U.S.C. § 3024(i)(1)) (National Security Act of 1947)","CIA v. Sims, 471 U.S. 159, 167 (1985); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. May 21, 2012); ACLU v. DOD, 628 F.3d 612, 619, 626 (D.C. Cir. 2011); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007).","Intenlligence sources and methods.","1"
"Merit Systems Protection Board","Agency Overall","2018","50 U.S.C. § 403g (currently at 50 U.S.C. § 3507) (Central Intelligence Agency Act of 1949)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","1"
"Merit Systems Protection Board","Agency Overall","2018","5 U.S.C. § 574(j)","N/A","Dispute resolution communications.","3"
"United States African Development Foundation","Agency Overall","2018","N/A","N/A","N/A","0"
"Securities and Exchange Commission","Agency Overall","2018","41 U.S.C. § 2102 (amending 41 U.S.C. § 423 (a)(1))* (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. U.S. Dep’t of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","2"
