"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Commodity Futures Trading Commission","Agency Overall","2018","2","2","3","4.25","4"
"Merit Systems Protection Board","Agency Overall","2018","2","15","2","2.24","17"
"United States African Development Foundation","Agency Overall","2018","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2018","4","310","6.5","5.75","302"
"Department of Homeland Security","Agency Overall","2018","588","3515","11","24.59","2315"
"National Indian Gaming Commission","Agency Overall","2018","0","5","3","7","4"
"Office of Government Ethics","Agency Overall","2018","31","0","10","12.25","19"
"National Commission on Military, National, and Public Service","Agency Overall","2018","0","2","2","3","2"
"National Mediation Board","Agency Overall","2018","1","0","1","1","1"
"U.S. Agency for Global Media","Agency Overall","2018","6","16","10","30","12"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","1","31","1","4.75","29"
"Department of Agriculture","Agency Overall","2018","13","522","1","6.69","499"
"Court Services and Offender Supervision Agency","Agency Overall","2018","0","0","0","0","0"
"General Services Administration","Agency Overall","2018","69","86","1","2.25","149"
"Federal Mediation and Conciliation Service","Agency Overall","2018","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","1","0","1","1","1"
"Peace Corps","Agency Overall","2018","0","1","7","7","0"
"Department of Education","Agency Overall","2018","21","46","6","8.13","50"
"Office of National Drug Control Policy","Agency Overall","2018","1","5","10","8","6"
"Department of Housing and Urban Development","Agency Overall","2018","13","66","1","5.57","72"
"Armed Forces Retirement Home","Agency Overall","2018","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2018","3","0","1","1.3","3"
"Federal Communications Commission","Agency Overall","2018","91","41","8","8.4","99"
"Legal Services Corporation","Agency Overall","2018","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2018","0","2","17","17","1"
"Inter-American Foundation","Agency Overall","2018","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2018","61","412","1","1.75","454"
"Office of Personnel Management","Agency Overall","2018","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","1","6","1","6.33","5"
"United States Trade and Development Agency","Agency Overall","2018","3","0","33","88","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2018","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2018","9","6","5","5.73","13"
"National Railroad Passenger Corporation","Agency Overall","2018","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2018","62","671","5.37","6.8","654"
"U.S. Department of State","Agency Overall","2018","5","555","8","9.7083","306"
"Occupational Safety and Health Review Commission","Agency Overall","2018","1","1","5","5","2"
"Office of the United States Trade Representative","Agency Overall","2018","6","9","7","7","15"
"Federal Reserve System","Agency Overall","2018","2","7","8","8","8"
"U.S. Agency for International Development","Agency Overall","2018","0","54","1","3.83","52"
"U.S. Election Assistance Commission","Agency Overall","2018","0","2","25","25","0"
"Small Business Administration","Agency Overall","2018","26","29","14","31.53","25"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","3","0","1","3.3","3"
"Presidio Trust","Agency Overall","2018","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2018","3","4","9","9.625","7"
"Farm Credit Administration","Agency Overall","2018","3","0","4","3.33","3"
"Federal Housing Finance Agency","Agency Overall","2018","0","3","3","11.33","2"
"Department of Commerce","Agency Overall","2018","62","172","3","10.3","202"
"United States Institute of Peace","Agency Overall","2018","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2018","6","22","1","1.14","27"
"Overseas Private Investment Corporation","Agency Overall","2018","4","1","7","5.8","5"
"Selective Service System","Agency Overall","2018","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","0","7","1","2.14","7"
