"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Commodity Futures Trading Commission","Agency Overall","2018","21","31","<1","151","65","166.4","24","824","16","16","16","16"
"Merit Systems Protection Board","Agency Overall","2018","6","21.75","<1","348","317","345.26","16","868","577","577","577","577"
"United States African Development Foundation","Agency Overall","2018","12","13","2","21","31","31","31","31","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2018","7","13.25","<1","780","723","723","576","942","11","11","11","11"
"Department of Homeland Security","Agency Overall","2018","13","26.76","1","947","106","98.44","1","1593","22","51.4","1","560"
"National Indian Gaming Commission","Agency Overall","2018","9","37","<1","377","239","228","26","484","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2018","196","181.5","1","428","N/A","N/A","N/A","N/A","196","187.4","28","308"
"National Commission on Military, National, and Public Service","Agency Overall","2018","16","16","16","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2018","13","5","<1","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2018","31","42.11","6","97","44","99.12","3","553","100","77.2","33","100"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","1","1.42","1","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2018","15","21.66","<1","211","48","81.59","4","309","24","24","24","24"
"Department of Agriculture","Agency Overall","2018","1","10.01","1","1507","25.5","84.26","1","1415","1","13.2","1","80"
"Court Services and Offender Supervision Agency","Agency Overall","2018","21","25.3","<1","188","29","24","4","34","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2018","15","18.63","<1","312","46","74.98","5","368","77","96.96","<1","370"
"Federal Mediation and Conciliation Service","Agency Overall","2018","23","73","<1","367","76","76","76","76","N/A","N/A","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","1","1","1"
"Peace Corps","Agency Overall","2018","149","102.8","1","408","207","258","207","336","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2018","11","11.8","<1","73","73","116.46","14","1130","5.5","13.45","1","86"
"Office of National Drug Control Policy","Agency Overall","2018","16","13","1","23","201","222","31","535","77","59","13","87"
"Department of Housing and Urban Development","Agency Overall","2018","20","49.58","<1","628","67","129.99","<1","881","13","32.2","1","193"
"Armed Forces Retirement Home","Agency Overall","2018","2","3","1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2018","1","3.2","1","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2018","17","17.79","<1","57","58","83.37","19","501","38","75.59","1","281"
"Legal Services Corporation","Agency Overall","2018","6.5","7.29","1","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2018","19","17","8","20","30","30","29","30","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2018","19.5","35.8","5","126","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","30","40","16","89","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2018","6","11","<1","265","23","58","<1","1391","29","65","8","174"
"Office of Personnel Management","Agency Overall","2018","1","2.4","1","1058","21","28.8","1","1256","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","2","4.5","1","13","334","335","328","343","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","20","11","1","29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2018","20","26.86","<1","399","25","64.08","<1","729","45","45","45","45"
