"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Commodity Futures Trading Commission","Agency Overall","2018","34","70","95","3","206","235","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2018","35","422","382.89","15","423","421.4","1","924","924"
"United States African Development Foundation","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2018","534","8","24","5","745","792","1","70","70"
"Department of Homeland Security","Agency Overall","2018","28274","24","51.42","54783","60","83.43","216","171.5","195.28"
"National Indian Gaming Commission","Agency Overall","2018","6","314","271","6","57","235","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2018","45","257","218","0","N/A","N/A","16","265","224"
"National Commission on Military, National, and Public Service","Agency Overall","2018","2","45","57","0","N/A","N/A","0","N/A","N/A"
"National Mediation Board","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2018","2","2.1","2.1","3","35","29.2","2","84","84"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2018","163","55","64","65","54","67","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2018","2190","166","242.39","426","141.5","234.28","9","358","320.22"
"Court Services and Offender Supervision Agency","Agency Overall","2018","8","6","7","5","28","33","0","N/A","N/A"
"General Services Administration","Agency Overall","2018","149","27","59.7","187","172","150.4","31","178","163.03"
"Federal Mediation and Conciliation Service","Agency Overall","2018","22","299","323","0","N/A","N/A","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Peace Corps","Agency Overall","2018","28","213","415.2","28","79.5","177.4","0","N/A","N/A"
"Department of Education","Agency Overall","2018","139","102","137","872","154","193","1","79","79"
"Office of National Drug Control Policy","Agency Overall","2018","0","N/A","N/A","22","66","102","1","69","69"
"Department of Housing and Urban Development","Agency Overall","2018","595","20","20","388","20","23","2","71","71"
"Armed Forces Retirement Home","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2018","40","9.5","11.55","11","32","114.64","5","17","50.8"
"Legal Services Corporation","Agency Overall","2018","4","19","16.25","0","N/A","N/A","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2018","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2018","0","N/A","N/A","1","339","339","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","6","25","30","0","N/A","N/A","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2018","299","82","133","1671","143","235","37","191","188"
