"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Commodity Futures Trading Commission","Agency Overall","2018","0","1","1","0"
"Merit Systems Protection Board","Agency Overall","2018","0","13","8","5"
"United States African Development Foundation","Agency Overall","2018","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2018","22","621","637","6"
"Department of Homeland Security","Agency Overall","2018","475","5386","5327","534"
"National Indian Gaming Commission","Agency Overall","2018","0","0","0","0"
"Office of Government Ethics","Agency Overall","2018","0","5","5","0"
"National Commission on Military, National, and Public Service","Agency Overall","2018","0","2","1","1"
"National Mediation Board","Agency Overall","2018","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2018","2","2","3","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","2","53","53","2"
"Department of Agriculture","Agency Overall","2018","608","518","250","876"
"Court Services and Offender Supervision Agency","Agency Overall","2018","0","0","0","0"
"General Services Administration","Agency Overall","2018","8","50","41","17"
"Federal Mediation and Conciliation Service","Agency Overall","2018","0","2","2","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0","0","0"
"Peace Corps","Agency Overall","2018","0","7","7","0"
"Department of Education","Agency Overall","2018","56","71","53","74"
"Office of National Drug Control Policy","Agency Overall","2018","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2018","12","52","50","14"
"Armed Forces Retirement Home","Agency Overall","2018","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2018","0","0","0","0"
"Federal Communications Commission","Agency Overall","2018","10","36","35","11"
"Legal Services Corporation","Agency Overall","2018","0","2","0","2"
"United States International Trade Commission","Agency Overall","2018","0","2","2","0"
"Inter-American Foundation","Agency Overall","2018","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","0","1","1","0"
"Department of the Treasury","Agency Overall","2018","100","177","160","117"
"Office of Personnel Management","Agency Overall","2018","60","47","62","45"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","32","17","11","38"
"United States Trade and Development Agency","Agency Overall","2018","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2018","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","0","0","0"
