"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Commodity Futures Trading Commission","Agency Overall","2018","186","134","176","121"
"Merit Systems Protection Board","Agency Overall","2018","176","173","190","200"
"United States African Development Foundation","Agency Overall","2018","14","6","12","8"
"Securities and Exchange Commission","Agency Overall","2018","13063","14229","13069","14248"
"Department of Homeland Security","Agency Overall","2018","366036","395751","367546","374945"
"National Indian Gaming Commission","Agency Overall","2018","51","44","75","52"
"Office of Government Ethics","Agency Overall","2018","471","126","331","206"
"National Commission on Military, National, and Public Service","Agency Overall","2018","0","3","0","1"
"National Mediation Board","Agency Overall","2018","20","17","20","17"
"U.S. Agency for Global Media","Agency Overall","2018","62","60","72","59"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","104","57","104","57"
"Consumer Financial Protection Bureau","Agency Overall","2018","538","788","555","642"
"Department of Agriculture","Agency Overall","2018","25461","36547","24006","35482"
"Court Services and Offender Supervision Agency","Agency Overall","2018","508","437","456","517"
"General Services Administration","Agency Overall","2018","1352","1324","1181","1239"
"Federal Mediation and Conciliation Service","Agency Overall","2018","80","58","56","57"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","7","2","7","2"
"Peace Corps","Agency Overall","2018","152","137","197","123"
"Department of Education","Agency Overall","2018","2915","3041","2574","2858"
"Office of National Drug Control Policy","Agency Overall","2018","62","112","51","106"
"Department of Housing and Urban Development","Agency Overall","2018","2296","2383","2299","2245"
"Armed Forces Retirement Home","Agency Overall","2018","7","6","0","6"
"National Capital Planning Commission","Agency Overall","2018","12","8","12","8"
"Federal Communications Commission","Agency Overall","2018","902","820","867","848"
"Legal Services Corporation","Agency Overall","2018","44","27","47","23"
"United States International Trade Commission","Agency Overall","2018","49","34","46","37"
"Inter-American Foundation","Agency Overall","2018","12","11","11","11"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","42","39","34","44"
"Department of the Treasury","Agency Overall","2018","12476","12535","12392","12098"
"Office of Personnel Management","Agency Overall","2018","10029","10668","9966","10575"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","3","7","3","7"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","1","5","1","5"
"Office of the Director of National Intelligence","Agency Overall","2018","456","498","376","349"
"United States Trade and Development Agency","Agency Overall","2018","30","22","20","19"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","38","40","25","14"
"Appraisal Subcommittee","Agency Overall","2018","5","4","5","4"
"U.S. Railroad Retirement Board","Agency Overall","2018","99","87","102","86"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","6","15","7","12"
"Federal Deposit Insurance Corporation","Agency Overall","2018","440","423","442","431"
"National Railroad Passenger Corporation","Agency Overall","2018","224","206","203","215"
"Department of Health and Human Services","Agency Overall","2018","34022","35445","34549","33876"
"U.S. Department of State","Agency Overall","2018","7688","8448","21736","10928"
"Occupational Safety and Health Review Commission","Agency Overall","2018","63","69","64","69"
"Office of the United States Trade Representative","Agency Overall","2018","140","186","156","188"
"Federal Reserve System","Agency Overall","2018","656","610","676","626"
"U.S. Agency for International Development","Agency Overall","2018","330","280","331","337"
"U.S. Election Assistance Commission","Agency Overall","2018","34","38","22","45"
"Small Business Administration","Agency Overall","2018","1430","1089","1500","1061"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","53","53","54","51"
"Presidio Trust","Agency Overall","2018","8","5","8","5"
"Office of Science and Technology Policy","Agency Overall","2018","132","122","109","100"
"Farm Credit Administration","Agency Overall","2018","26","23","27","21"
"Federal Housing Finance Agency","Agency Overall","2018","172","138","157","148"
"Department of Commerce","Agency Overall","2018","2209","2269","2106","1976"
"United States Institute of Peace","Agency Overall","2018","2","1","1","2"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","1","3","1","3"
"Nuclear Regulatory Commission","Agency Overall","2018","701","643","688","496"
"Overseas Private Investment Corporation","Agency Overall","2018","56","59","59","53"
"Selective Service System","Agency Overall","2018","46","54","46","54"
"Export-Import Bank of the U.S.","Agency Overall","2018","143","77","132","85"
"United States International Boundary and Water Commission","Agency Overall","2018","53","50","52","42"
"Department of Justice","Agency Overall","2018","82088","96875","79390","91383"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","1","2","1","2"
"United States Access Board","Agency Overall","2018","18","8","18","8"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","7","8","7","8"
"Office of Management and Budget","Agency Overall","2018","463","547","248","301"
"Federal Financial Institutions Examination Council","Agency Overall","2018","35","8","36","8"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","35","28","27","26"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","1639","1618","1651","1598"
"Central Intelligence Agency","Agency Overall","2018","2554","2726","2076","2345"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","31","16","26","19"
"Advisory Council on Historic Preservation","Agency Overall","2018","1","3","0","1"
"National Council on Disability","Agency Overall","2018","0","3","0","3"
"Postal Regulatory Commission","Agency Overall","2018","38","52","37","53"
"Farm Credit System Insurance Corporation","Agency Overall","2018","10","4","10","4"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","5","3","4","3"
"Federal Maritime Commission","Agency Overall","2018","35","26","33","28"
"National Labor Relations Board","Agency Overall","2018","2218","1305","2105","1547"
"National Aeronautics and Space Administration","Agency Overall","2018","1062","853","1016","880"
"Department of Veterans Affairs","Agency Overall","2018","4962","24555","25235","22851"
"Commission of Fine Arts","Agency Overall","2018","6","8","6","8"
"Department of Energy","Agency Overall","2018","2145","2073","2128","1893"
"Environmental Protection Agency","Agency Overall","2018","11518","11364","10802","10442"
"National Endowment for the Humanities","Agency Overall","2018","58","49","57","54"
"U.S. Commission on Civil Rights","Agency Overall","2018","33","28","34","28"
"Department of Labor","Agency Overall","2018","16093","14696","16104","14679"
"Federal Labor Relations Authority","Agency Overall","2018","102","57","97","62"
"National Science Foundation","Agency Overall","2018","325","329","278","349"
"Federal Energy Regulatory Commission","Agency Overall","2018","115","129","107","111"
"Federal Trade Commission","Agency Overall","2018","1518","1441","1492","1459"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","38","27","41","30"
"Marine Mammal Commission","Agency Overall","2018","10","7","8","8"
"Office of Special Counsel","Agency Overall","2018","222","189","156","282"
"United States Postal Service","Agency Overall","2018","3102","3150","3137","3116"
"Equal Employment Opportunity Commission","Agency Overall","2018","19002","19065","17560","19134"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","58","49","46","48"
"Department of the Interior","Agency Overall","2018","8028","8402","6763","7001"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","101","65","98","68"
"Denali Commission","Agency Overall","2018","0","4","0","4"
"National Archives and Records Administration","Agency Overall","2018","60337","52850","61208","53101"
"United States Copyright Office","Agency Overall","2018","42","41","36","44"
"Social Security Administration","Agency Overall","2018","21560","16427","21619","16631"
"National Transportation Safety Board","Agency Overall","2018","927","521","370","549"
"Administrative Conference of the United States","Agency Overall","2018","16","19","16","19"
"National Credit Union Administration","Agency Overall","2018","100","165","96","154"
"Surface Transportation Board","Agency Overall","2018","51","42","52","41"
"Institute of Museum and Library Services","Agency Overall","2018","40","33","36","26"
"Tennessee Valley Authority","Agency Overall","2018","199","222","201","212"
