"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Commodity Futures Trading Commission","Agency Overall","2018","41","20","2","4","6","0","2","3","0","0","1","0","0","79"
"Merit Systems Protection Board","Agency Overall","2018","109","8","2","1","1","1","0","0","0","1","1","1","0","125"
"United States African Development Foundation","Agency Overall","2018","6","1","0","0","0","0","0","0","0","0","0","0","0","7"
"Securities and Exchange Commission","Agency Overall","2018","12262","1313","299","120","71","42","20","13","7","2","6","0","3","14158"
"Department of Homeland Security","Agency Overall","2018","97792","32552","22462","10369","3469","2670","1920","1215","272","155","360","104","257","173597"
"National Indian Gaming Commission","Agency Overall","2018","23","2","5","1","0","0","0","1","0","0","0","1","0","33"
"Office of Government Ethics","Agency Overall","2018","64","10","6","3","2","4","4","12","13","8","48","12","3","189"
"National Commission on Military, National, and Public Service","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"National Mediation Board","Agency Overall","2018","16","0","0","0","0","0","0","0","0","0","0","0","0","16"
"U.S. Agency for Global Media","Agency Overall","2018","12","12","3","4","2","1","0","0","0","0","0","0","0","34"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","57","0","0","0","0","0","0","0","0","0","0","0","0","57"
"Consumer Financial Protection Bureau","Agency Overall","2018","458","86","27","17","11","3","2","0","0","0","2","0","0","606"
"Department of Agriculture","Agency Overall","2018","30880","956","383","189","159","160","135","129","125","80","241","140","128","33705"
"Court Services and Offender Supervision Agency","Agency Overall","2018","233","209","11","9","12","10","5","5","2","1","0","0","0","497"
"General Services Administration","Agency Overall","2018","435","61","18","4","2","2","1","2","0","0","0","2","0","527"
"Federal Mediation and Conciliation Service","Agency Overall","2018","30","5","3","2","4","0","0","1","0","0","8","3","0","56"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Peace Corps","Agency Overall","2018","27","22","18","13","5","7","3","1","1","0","9","3","2","111"
"Department of Education","Agency Overall","2018","1518","147","0","1","0","0","0","0","0","0","0","0","0","1666"
"Office of National Drug Control Policy","Agency Overall","2018","82","2","0","0","0","0","0","0","0","0","0","0","0","84"
"Department of Housing and Urban Development","Agency Overall","2018","856","284","82","41","44","18","11","15","10","7","40","20","11","1439"
"Armed Forces Retirement Home","Agency Overall","2018","6","0","0","0","0","0","0","0","0","0","0","0","0","6"
"National Capital Planning Commission","Agency Overall","2018","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Federal Communications Commission","Agency Overall","2018","447","123","14","0","0","0","0","0","0","0","0","0","0","584"
"Legal Services Corporation","Agency Overall","2018","20","3","0","0","0","0","0","0","0","0","0","0","0","23"
"United States International Trade Commission","Agency Overall","2018","25","0","0","0","0","0","0","0","0","0","0","0","0","25"
"Inter-American Foundation","Agency Overall","2018","8","2","0","0","0","0","1","0","0","0","0","0","0","11"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","11","17","4","2","4","0","0","0","0","0","0","0","1","39"
"Department of the Treasury","Agency Overall","2018","2637","278","40","21","7","4","6","3","0","0","4","0","0","3000"
"Office of Personnel Management","Agency Overall","2018","7818","39","19","11","5","2","0","4","2","2","7","6","5","7920"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","2","3","0","0","0","0","0","0","0","0","0","0","0","5"
"Office of the Director of National Intelligence","Agency Overall","2018","60","35","10","1","0","0","0","1","0","0","0","1","0","108"
"United States Trade and Development Agency","Agency Overall","2018","1","6","1","5","1","0","0","0","0","0","0","0","1","15"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2018","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"U.S. Railroad Retirement Board","Agency Overall","2018","67","14","2","2","1","0","0","0","0","0","0","0","0","86"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","3","1","2","0","0","0","0","0","0","0","0","0","0","6"
"Federal Deposit Insurance Corporation","Agency Overall","2018","215","28","2","0","0","0","0","0","0","0","0","0","0","245"
"National Railroad Passenger Corporation","Agency Overall","2018","7","2","0","0","0","0","0","1","0","0","2","0","0","12"
"Department of Health and Human Services","Agency Overall","2018","6229","891","577","487","513","453","457","578","341","369","1327","46","65","12333"
"U.S. Department of State","Agency Overall","2018","76","103","30","15","12","10","17","8","13","7","39","435","822","1587"
"Occupational Safety and Health Review Commission","Agency Overall","2018","64","0","0","0","0","0","0","0","0","0","0","0","0","64"
"Office of the United States Trade Representative","Agency Overall","2018","110","18","4","1","2","0","0","0","0","0","0","0","0","135"
"Federal Reserve System","Agency Overall","2018","265","12","6","3","1","1","0","0","0","0","0","0","0","288"
"U.S. Agency for International Development","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Election Assistance Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2018","770","125","52","14","9","7","1","1","0","0","1","0","0","980"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","31","7","1","0","0","1","0","0","0","0","0","0","0","40"
"Presidio Trust","Agency Overall","2018","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Office of Science and Technology Policy","Agency Overall","2018","51","21","4","3","3","2","2","2","4","1","1","0","0","94"
"Farm Credit Administration","Agency Overall","2018","21","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Federal Housing Finance Agency","Agency Overall","2018","75","12","5","1","0","0","0","0","1","0","0","0","0","94"
"Department of Commerce","Agency Overall","2018","704","166","57","18","29","6","9","6","3","7","4","1","12","1022"
"United States Institute of Peace","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Nuclear Regulatory Commission","Agency Overall","2018","271","46","33","16","1","4","2","4","0","1","7","0","0","385"
"Overseas Private Investment Corporation","Agency Overall","2018","25","5","4","1","0","0","0","0","0","0","1","0","0","36"
"Selective Service System","Agency Overall","2018","53","1","0","0","0","0","0","0","0","0","0","0","0","54"
"Export-Import Bank of the U.S.","Agency Overall","2018","27","8","7","0","0","0","1","0","0","0","0","0","0","43"
"United States International Boundary and Water Commission","Agency Overall","2018","25","11","3","0","0","0","0","0","0","0","0","0","0","39"
"Department of Justice","Agency Overall","2018","28606","25038","4986","2257","1170","695","489","357","280","208","490","190","174","64940"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"United States Access Board","Agency Overall","2018","6","0","1","0","0","0","0","0","0","0","0","0","0","7"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2018","105","54","17","13","7","14","7","13","9","3","25","8","3","278"
"Federal Financial Institutions Examination Council","Agency Overall","2018","8","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","25","0","0","0","0","0","0","0","0","0","0","0","0","25"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","303","22","1","1","0","0","0","0","0","0","0","0","0","327"
"Central Intelligence Agency","Agency Overall","2018","765","183","46","19","11","13","6","7","8","3","14","4","13","1092"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","10","3","0","2","0","0","0","0","0","0","1","0","0","16"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2018","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Postal Regulatory Commission","Agency Overall","2018","41","0","0","0","0","0","0","0","0","0","0","0","0","41"
"Farm Credit System Insurance Corporation","Agency Overall","2018","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Federal Maritime Commission","Agency Overall","2018","10","0","0","0","0","0","0","0","0","0","0","0","0","10"
"National Labor Relations Board","Agency Overall","2018","658","214","100","76","53","50","42","26","38","31","88","39","3","1418"
"National Aeronautics and Space Administration","Agency Overall","2018","306","23","3","2","1","1","0","0","0","0","0","0","0","336"
"Department of Veterans Affairs","Agency Overall","2018","14117","2667","681","280","159","113","76","69","47","26","64","14","23","18336"
"Commission of Fine Arts","Agency Overall","2018","5","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Department of Energy","Agency Overall","2018","704","233","115","65","50","37","41","34","22","16","54","16","16","1403"
"Environmental Protection Agency","Agency Overall","2018","5245","1470","403","188","134","84","74","66","43","52","132","59","97","8047"
"National Endowment for the Humanities","Agency Overall","2018","48","1","0","0","0","0","0","0","0","0","0","0","0","49"
"U.S. Commission on Civil Rights","Agency Overall","2018","23","1","0","0","0","0","0","0","0","0","0","0","0","24"
"Department of Labor","Agency Overall","2018","3843","537","198","117","62","33","32","19","10","8","26","40","38","4963"
"Federal Labor Relations Authority","Agency Overall","2018","58","1","0","0","0","0","0","0","0","0","0","0","0","59"
"National Science Foundation","Agency Overall","2018","58","8","4","3","5","2","0","2","1","1","4","0","2","90"
"Federal Energy Regulatory Commission","Agency Overall","2018","12","17","1","0","0","0","0","0","0","1","0","0","1","32"
"Federal Trade Commission","Agency Overall","2018","830","70","20","7","5","1","0","0","0","0","0","0","0","933"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","11","3","0","0","0","0","0","0","0","0","0","0","0","14"
"Marine Mammal Commission","Agency Overall","2018","0","0","1","1","0","0","0","0","0","0","0","0","0","2"
"Office of Special Counsel","Agency Overall","2018","38","8","6","2","0","1","0","1","0","1","6","9","6","78"
"United States Postal Service","Agency Overall","2018","2290","145","10","6","0","0","1","0","0","1","2","2","0","2457"
"Equal Employment Opportunity Commission","Agency Overall","2018","9232","2975","1594","812","696","570","605","379","343","219","730","75","6","18236"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","22","4","1","0","0","1","0","1","1","0","0","0","0","30"
"Department of the Interior","Agency Overall","2018","526","26","11","4","4","1","0","0","0","1","0","0","0","573"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","57","0","0","0","0","0","0","0","0","0","0","0","0","57"
"Denali Commission","Agency Overall","2018","3","1","0","0","0","0","0","0","0","0","0","0","0","4"
"National Archives and Records Administration","Agency Overall","2018","49792","1130","252","97","48","33","28","21","17","15","20","16","511","51980"
"United States Copyright Office","Agency Overall","2018","35","2","0","0","0","0","0","0","0","0","0","0","0","37"
"Social Security Administration","Agency Overall","2018","15022","733","112","53","27","21","12","6","7","8","14","1","0","16016"
"National Transportation Safety Board","Agency Overall","2018","84","39","18","12","6","7","3","8","2","7","14","9","72","281"
"Administrative Conference of the United States","Agency Overall","2018","19","0","0","0","0","0","0","0","0","0","0","0","0","19"
"National Credit Union Administration","Agency Overall","2018","64","2","0","0","0","0","0","0","0","0","0","0","0","66"
"Surface Transportation Board","Agency Overall","2018","36","1","0","0","0","0","0","0","0","0","0","0","0","37"
"Institute of Museum and Library Services","Agency Overall","2018","10","8","1","1","0","0","0","0","0","0","0","0","0","20"
"Tennessee Valley Authority","Agency Overall","2018","127","0","0","0","0","0","0","0","0","0","0","0","0","127"
"Council on Environmental Quality","Agency Overall","2018","59","12","5","8","4","2","2","0","0","0","1","0","0","93"
"Department of Transportation","Agency Overall","2018","9677","1017","260","298","179","132","120","161","294","297","436","49","87","13007"
"National Endowment for the Arts","Agency Overall","2018","67","2","0","0","0","0","0","0","0","0","0","0","0","69"
"Federal Open Market Committee","Agency Overall","2018","8","1","0","0","0","0","0","0","0","0","0","0","0","9"
"Consumer Product Safety Commission","Agency Overall","2018","44","17","18","6","6","1","2","2","0","1","1","1","1","100"
"Department of Defense","Agency Overall","2018","26122","1268","347","191","198","151","88","62","56","47","139","53","155","28877"
"Millennium Challenge Corporation","Agency Overall","2018","19","2","0","0","0","3","0","0","0","0","0","0","0","24"
"American Battle Monuments Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2018","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Federal Election Commission","Agency Overall","2018","89","23","7","2","1","0","1","0","0","0","0","0","3","126"
"All agencies","Agency Overall","2018","334302","75629","33417","15902","7202","5374","4228","3239","1972","1587","4370","1360","2521","491103"
