"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Commodity Futures Trading Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","1"
"United States African Development Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2018","0","0","3","0","0","7","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2018","139","8","32","0","6","416","27","76","14","6","131"
"National Indian Gaming Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"National Commission on Military, National, and Public Service","Agency Overall","2018","0","0","0","0","0","0","0","0","0","1","0"
"National Mediation Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","0","0","0","0","0","2","1","0","0","0","0"
"Department of Agriculture","Agency Overall","2018","10","0","33","2","0","2","1","6","9","0","35"
"Court Services and Offender Supervision Agency","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2018","11","12","4","2","0","1","0","1","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2018","2","1","5","0","0","0","0","0","4","0","4"
"Office of National Drug Control Policy","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2018","1","0","3","0","0","2","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2018","0","0","16","1","1","9","0","3","0","1","0"
"Legal Services Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2018","30","0","0","1","4","29","4","0","0","0","0"
"Office of Personnel Management","Agency Overall","2018","8","0","1","0","2","6","3","1","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","0","0","3","0","0","0","0","0","8","0","0"
"United States Trade and Development Agency","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2018","0","0","0","0","0","1","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2018","1","0","2","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2018","14","23","63","1","0","8","4","19","13","2","85"
"U.S. Department of State","Agency Overall","2018","16","0","11","0","1","4","2","0","0","0","4"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","1"
"Office of the United States Trade Representative","Agency Overall","2018","1","0","1","0","0","0","1","0","0","0","0"
"Federal Reserve System","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","1"
"U.S. Agency for International Development","Agency Overall","2018","0","0","1","0","0","1","0","0","0","1","0"
"U.S. Election Assistance Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2018","0","0","6","0","0","0","0","1","0","1","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2018","0","0","2","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2018","7","0","8","3","0","2","0","3","2","3","0"
"United States Institute of Peace","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2018","32","1","0","21","1","15","1","9","1","1","1"
"Overseas Private Investment Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0"
