"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Commodity Futures Trading Commission","Agency Overall","2018","24","24","24","24"
"Merit Systems Protection Board","Agency Overall","2018","18","17.25","8","28"
"United States African Development Foundation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2018","7","14.14","<1","383"
"Department of Homeland Security","Agency Overall","2018","12","27.18","1","1204"
"National Indian Gaming Commission","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2018","16","14.8","7","19"
"National Commission on Military, National, and Public Service","Agency Overall","2018","19","19","19","19"
"National Mediation Board","Agency Overall","2018","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2018","25","33","25","37"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2018","20","18.77","1","22"
"Department of Agriculture","Agency Overall","2018","234.5","352","1","2742"
"Court Services and Offender Supervision Agency","Agency Overall","2018","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2018","51.5","65.1","3","455"
"Federal Mediation and Conciliation Service","Agency Overall","2018","16","16","12","32"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2018","13","19","1","36"
"Department of Education","Agency Overall","2018","106","184.25","2","1382"
"Office of National Drug Control Policy","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2018","21","39.94","<1","464"
"Armed Forces Retirement Home","Agency Overall","2018","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2018","20","63.2","<1","784"
"Legal Services Corporation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2018","25","25","20","30"
"Inter-American Foundation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","40","40","40","40"
"Department of the Treasury","Agency Overall","2018","15","29.38","2","1725"
"Office of Personnel Management","Agency Overall","2018","N/A","238","6","789"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2018","475","175.27","1","961"
"United States Trade and Development Agency","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2018","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2018","20","19.3","17","20"
"National Railroad Passenger Corporation","Agency Overall","2018","593","524.2","32","1016"
"Department of Health and Human Services","Agency Overall","2018","283.25","350.3","1","1340"
"U.S. Department of State","Agency Overall","2018","317","531","6","1724"
"Occupational Safety and Health Review Commission","Agency Overall","2018","14","14","14","14"
"Office of the United States Trade Representative","Agency Overall","2018","8","12","4","18"
"Federal Reserve System","Agency Overall","2018","65","99","32","209"
"U.S. Agency for International Development","Agency Overall","2018","53","55.47","2","231"
"U.S. Election Assistance Commission","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2018","16","18","<1","70"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","20","20","20","20"
"Presidio Trust","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2018","20","17.38","6","20"
"Farm Credit Administration","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2018","6","9.8","1","20"
"Department of Commerce","Agency Overall","2018","62","65.1","<1","1029"
"United States Institute of Peace","Agency Overall","2018","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2018","23.5","24.99","<1","154"
"Overseas Private Investment Corporation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2018","16","16","10","22"
"United States International Boundary and Water Commission","Agency Overall","2018","28","28","28","28"
"Department of Justice","Agency Overall","2018","34","49.82","<1","288"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2018","N/A","N/A","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","14","14.29","5","20"
"Central Intelligence Agency","Agency Overall","2018","1","141.33","1","2462"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","24","24","24","24"
"Advisory Council on Historic Preservation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2018","19","19","19","19"
"Farm Credit System Insurance Corporation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2018","15","15","15","15"
"National Labor Relations Board","Agency Overall","2018","20","31.77","11","152"
"National Aeronautics and Space Administration","Agency Overall","2018","25.25","25.6","1","54"
"Department of Veterans Affairs","Agency Overall","2018","163.5","202","1","746"
"Commission of Fine Arts","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2018","8.5","42.39","N/A","925"
"Environmental Protection Agency","Agency Overall","2018","73","209.89","5","1534"
"National Endowment for the Humanities","Agency Overall","2018","18.5","18.5","17","20"
"U.S. Commission on Civil Rights","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2018","518","461.4","7","1201"
"Federal Labor Relations Authority","Agency Overall","2018","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2018","20","20","20","21"
"Federal Energy Regulatory Commission","Agency Overall","2018","28","25","15","31"
"Federal Trade Commission","Agency Overall","2018","20","19.08","7","21"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2018","6","10.1","2","27"
"United States Postal Service","Agency Overall","2018","23","29.13","3","178"
"Equal Employment Opportunity Commission","Agency Overall","2018","24.5","32.15","<1","431"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","21","21","20","21"
"Department of the Interior","Agency Overall","2018","267","329","2","1726"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2018","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2018","331","352.95","<1","1250"
"United States Copyright Office","Agency Overall","2018","24.5","24.5","21","28"
"Social Security Administration","Agency Overall","2018","11","20","<1","184"
"National Transportation Safety Board","Agency Overall","2018","279","451.54","19","1215"
"Administrative Conference of the United States","Agency Overall","2018","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2018","10","10","8","12"
"Surface Transportation Board","Agency Overall","2018","17","17","16","18"
"Institute of Museum and Library Services","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2018","20","19.6","18","20"
"Council on Environmental Quality","Agency Overall","2018","39","33","21","39"
"Department of Transportation","Agency Overall","2018","31","143","2","686"
"National Endowment for the Arts","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2018","62","62","62","62"
"Consumer Product Safety Commission","Agency Overall","2018","118.5","112.5","19","194"
"Department of Defense","Agency Overall","2018","123.842105263158","177.210526315789","1","2711"
"Millennium Challenge Corporation","Agency Overall","2018","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2018","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2018","30","66.3","26","143"
