"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Commodity Futures Trading Commission","Agency Overall","2018","2018-02-21","154","2018-02-20","155","2018-02-14","158","2017-12-05","206","2017-12-05","206","2017-12-05","206","2017-11-15","219","2017-10-12","242","2017-08-17","280","2017-07-27","295"
"Merit Systems Protection Board","Agency Overall","2018","2016-06-01","585","2016-03-22","635","2016-03-08","646","2016-03-07","556","2016-02-29","651","2016-02-16","660","2016-01-26","674","2015-11-23","716","2015-06-08","708","2015-01-23","924"
"United States African Development Foundation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Securities and Exchange Commission","Agency Overall","2018","2017-02-03","417","2016-12-23","444","2016-12-14","451","2016-09-02","520","2016-08-11","544","2016-04-05","625","2016-02-12","661","2015-10-05","745","2015-09-15","763","2014-02-04","1168"
"Department of Homeland Security","Agency Overall","2018","2011-11-21","1688","2011-12-14","1692","2011-11-02","1720","2011-09-22","1728","2011-09-22","1728","2011-10-12","1735","2011-09-23","1747","2011-09-21","1749","2011-08-03","1764","2011-06-15","1820"
"National Indian Gaming Commission","Agency Overall","2018","2018-09-21","6","2018-07-17","53","2018-07-10","58","2017-08-01","293","2017-07-18","303","2017-07-05","312","2017-06-30","314","2017-06-19","323","2017-04-20","364","2015-01-15","932"
"Office of Government Ethics","Agency Overall","2018","2017-05-03","355","2017-05-02","356","2017-04-19","365","2017-04-13","369","2017-03-16","389","2017-03-16","389","2017-03-09","394","2017-02-07","415","2017-02-07","415","2017-02-06","416"
"National Commission on Military, National, and Public Service","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-12","12","2018-05-04","102"
"National Mediation Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for Global Media","Agency Overall","2018","N/A","0","N/A","0","N/A","0","2018-09-28","1","2018-09-25","4","2018-09-04","19","2018-08-10","35","2018-08-10","35","2018-08-10","35","2018-03-23","133"
