"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Commodity Futures Trading Commission","Agency Overall","2018","0","0","12","19","23","34","10","0","2","7","2","0","0","0"
"Merit Systems Protection Board","Agency Overall","2018","0","1","5","0","8","59","4","0","5","0","6","0","0","0"
"United States African Development Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2018","0","4","52","366","301","586","624","3","392","28","30","2","54","0"
"Department of Homeland Security","Agency Overall","2018","92","593","40322","380","32962","168917","267","100","188107","175","193799","224","6","0"
"National Indian Gaming Commission","Agency Overall","2018","0","0","0","14","7","12","0","0","9","2","5","0","0","0"
"Office of Government Ethics","Agency Overall","2018","0","0","57","55","86","96","0","0","3","0","0","0","0","0"
"National Commission on Military, National, and Public Service","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2018","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2018","0","0","0","5","19","16","1","0","0","0","0","0","0","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","0","4","6","50","126","238","51","0","4","6","45","0","47","0"
"Department of Agriculture","Agency Overall","2018","0","68","625","457","872","3042","102","11","1621","98","554","68","2","9"
"Court Services and Offender Supervision Agency","Agency Overall","2018","0","0","0","6","183","423","2","0","420","0","6","121","0","0"
"General Services Administration","Agency Overall","2018","0","4","19","356","174","485","7","0","32","3","16","126","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2018","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2018","0","5","0","2","10","17","7","0","7","2","5","0","0","0"
"Department of Education","Agency Overall","2018","4","6","23","146","258","1223","401","7","956","7","51","35","1","0"
"Office of National Drug Control Policy","Agency Overall","2018","0","0","4","1","3","30","1","0","0","4","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2018","0","4","16","58","53","281","29","1","64","2","4","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2018","9","7","1","104","133","275","18","1","14","2","43","0","0","0"
"Legal Services Corporation","Agency Overall","2018","0","0","0","1","1","8","0","0","3","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2018","0","1","5","5","6","12","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2018","0","1","0","0","1","2","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","0","0","3","2","7","6","0","0","0","0","4","0","0","0"
"Department of the Treasury","Agency Overall","2018","3","30","2681","163","633","900","544","1","1140","18","1390","9","31","0"
"Office of Personnel Management","Agency Overall","2018","0","1","2124","20","24","2108","3","0","2030","98","464","6","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","14","0","178","0","7","17","1","0","1","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2018","0","0","0","0","6","8","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","0","1","22","1","0","6","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2018","0","9","1","43","16","78","1","0","4","0","5","0","16","0"
"National Railroad Passenger Corporation","Agency Overall","2018","0","3","3","10","15","28","2","0","17","0","0","3","0","0"
