"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Commodity Futures Trading Commission","Agency Overall","2018","15","33"
"Merit Systems Protection Board","Agency Overall","2018","70","47"
"United States African Development Foundation","Agency Overall","2018","0","0"
"Securities and Exchange Commission","Agency Overall","2018","73","112"
"Department of Homeland Security","Agency Overall","2018","44117","53971"
"National Indian Gaming Commission","Agency Overall","2018","20","9"
"Office of Government Ethics","Agency Overall","2018","126","60"
"National Commission on Military, National, and Public Service","Agency Overall","2018","0","1"
"National Mediation Board","Agency Overall","2018","0","0"
"U.S. Agency for Global Media","Agency Overall","2018","2","4"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","3","114"
"Department of Agriculture","Agency Overall","2018","2371","2407"
"Court Services and Offender Supervision Agency","Agency Overall","2018","52","4"
"General Services Administration","Agency Overall","2018","190","246"
"Federal Mediation and Conciliation Service","Agency Overall","2018","22","14"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0"
"Peace Corps","Agency Overall","2018","42","56"
"Department of Education","Agency Overall","2018","615","857"
"Office of National Drug Control Policy","Agency Overall","2018","9","21"
"Department of Housing and Urban Development","Agency Overall","2018","527","860"
"Armed Forces Retirement Home","Agency Overall","2018","0","0"
"National Capital Planning Commission","Agency Overall","2018","0","0"
"Federal Communications Commission","Agency Overall","2018","15","9"
"Legal Services Corporation","Agency Overall","2018","0","0"
"United States International Trade Commission","Agency Overall","2018","0","0"
"Inter-American Foundation","Agency Overall","2018","1","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","5","6"
"Department of the Treasury","Agency Overall","2018","1095","1453"
"Office of Personnel Management","Agency Overall","2018","181","215"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","359","539"
"United States Trade and Development Agency","Agency Overall","2018","25","28"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","27","50"
"Appraisal Subcommittee","Agency Overall","2018","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","8","9"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","1","4"
"Federal Deposit Insurance Corporation","Agency Overall","2018","1","1"
"National Railroad Passenger Corporation","Agency Overall","2018","68","64"
"Department of Health and Human Services","Agency Overall","2018","4534","6306"
"U.S. Department of State","Agency Overall","2018","13021","10400"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","0"
"Office of the United States Trade Representative","Agency Overall","2018","5","11"
"Federal Reserve System","Agency Overall","2018","34","17"
"U.S. Agency for International Development","Agency Overall","2018","326","273"
"U.S. Election Assistance Commission","Agency Overall","2018","15","5"
