"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Commodity Futures Trading Commission","Agency Overall","2018","20","35","15","31","0","6","4","1","1","4","0","4","121"
"Merit Systems Protection Board","Agency Overall","2018","59","58","8","41","2","2","0","7","18","0","2","3","200"
"United States African Development Foundation","Agency Overall","2018","7","0","0","1","0","0","0","0","0","0","0","0","8"
"Securities and Exchange Commission","Agency Overall","2018","5819","858","723","6015","209","308","46","32","35","37","166","0","14248"
"Department of Homeland Security","Agency Overall","2018","25696","226015","6103","65915","1564","1779","42","1549","19947","4220","21488","627","374945"
"National Indian Gaming Commission","Agency Overall","2018","14","19","3","11","0","3","0","0","1","1","0","0","52"
"Office of Government Ethics","Agency Overall","2018","27","99","5","57","3","10","0","4","0","0","1","0","206"
"National Commission on Military, National, and Public Service","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0","0","1"
"National Mediation Board","Agency Overall","2018","10","0","1","6","0","0","0","0","0","0","0","0","17"
"U.S. Agency for Global Media","Agency Overall","2018","11","29","2","8","0","0","2","5","1","1","0","0","59"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","57","0","0","0","0","0","0","0","0","0","0","0","57"
"Consumer Financial Protection Bureau","Agency Overall","2018","119","260","44","84","4","49","50","3","2","16","11","0","642"
"Department of Agriculture","Agency Overall","2018","29350","3494","389","1010","283","327","75","27","68","65","172","222","35482"
"Court Services and Offender Supervision Agency","Agency Overall","2018","13","421","2","17","0","52","0","0","6","1","5","0","517"
"General Services Administration","Agency Overall","2018","238","584","36","165","5","115","29","37","1","9","20","0","1239"
"Federal Mediation and Conciliation Service","Agency Overall","2018","26","7","3","12","0","2","0","0","2","4","0","1","57"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","1","0","1","0","0","0","0","0","0","0","0","2"
"Peace Corps","Agency Overall","2018","48","25","9","16","5","6","1","4","3","1","5","0","123"
"Department of Education","Agency Overall","2018","400","1647","134","227","0","119","7","41","0","196","64","23","2858"
"Office of National Drug Control Policy","Agency Overall","2018","17","33","0","45","0","11","0","0","0","0","0","0","106"
"Department of Housing and Urban Development","Agency Overall","2018","430","440","61","325","293","225","23","13","31","11","392","1","2245"
"Armed Forces Retirement Home","Agency Overall","2018","5","0","0","1","0","0","0","0","0","0","0","0","6"
"National Capital Planning Commission","Agency Overall","2018","5","0","0","2","0","0","0","1","0","0","0","0","8"
"Federal Communications Commission","Agency Overall","2018","122","367","28","135","0","92","41","23","4","17","19","0","848"
"Legal Services Corporation","Agency Overall","2018","15","8","0","0","0","0","0","0","0","0","0","0","23"
"United States International Trade Commission","Agency Overall","2018","6","15","2","13","0","1","0","0","0","0","0","0","37"
"Inter-American Foundation","Agency Overall","2018","3","3","0","5","0","0","0","0","0","0","0","0","11"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","12","11","3","1","0","3","0","5","0","8","1","0","44"
"Department of the Treasury","Agency Overall","2018","3776","2981","501","1013","206","469","103","199","2273","205","339","33","12098"
"Office of Personnel Management","Agency Overall","2018","7683","2370","42","105","7","16","12","23","22","287","6","2","10575"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","7","0","0","0","0","0","0","0","0","0","0","0","7"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","5","0","0","0","0","0","0","0","0","0","0","0","5"
"Office of the Director of National Intelligence","Agency Overall","2018","43","171","12","84","0","3","0","24","2","0","0","10","349"
"United States Trade and Development Agency","Agency Overall","2018","3","9","1","5","0","0","0","0","0","0","0","1","19"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","3","1","1","9","0","0","0","0","0","0","0","0","14"
"Appraisal Subcommittee","Agency Overall","2018","2","0","0","2","0","0","0","0","0","0","0","0","4"
"U.S. Railroad Retirement Board","Agency Overall","2018","76","0","1","2","2","0","2","0","0","2","1","0","86"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","3","1","1","3","0","0","0","0","2","0","0","2","12"
"Federal Deposit Insurance Corporation","Agency Overall","2018","67","66","33","36","0","19","19","58","56","68","9","0","431"
"National Railroad Passenger Corporation","Agency Overall","2018","40","44","8","29","2","64","17","0","2","5","4","0","215"
"Department of Health and Human Services","Agency Overall","2018","13062","4068","5782","3902","869","2250","396","376","1311","896","643","321","33876"
"U.S. Department of State","Agency Overall","2018","1364","3808","1077","1307","2","450","4","1549","801","528","38","0","10928"
"Occupational Safety and Health Review Commission","Agency Overall","2018","29","17","0","8","0","15","0","0","0","0","0","0","69"
"Office of the United States Trade Representative","Agency Overall","2018","22","87","4","50","1","3","1","12","0","0","0","8","188"
"Federal Reserve System","Agency Overall","2018","333","60","30","73","2","33","0","26","51","10","0","8","626"
"U.S. Agency for International Development","Agency Overall","2018","44","148","16","55","3","44","2","3","1","4","4","13","337"
"U.S. Election Assistance Commission","Agency Overall","2018","32","4","0","9","0","0","0","0","0","0","0","0","45"
"Small Business Administration","Agency Overall","2018","543","197","18","125","2","42","11","29","28","25","38","3","1061"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","15","22","2","9","0","2","0","1","0","0","0","0","51"
"Presidio Trust","Agency Overall","2018","3","0","0","1","0","0","0","0","1","0","0","0","5"
"Office of Science and Technology Policy","Agency Overall","2018","19","44","3","30","1","3","0","0","0","0","0","0","100"
"Farm Credit Administration","Agency Overall","2018","11","5","1","3","0","1","0","0","0","0","0","0","21"
"Federal Housing Finance Agency","Agency Overall","2018","25","51","11","44","1","8","1","1","4","0","2","0","148"
"Department of Commerce","Agency Overall","2018","474","392","62","364","20","194","65","29","110","56","129","81","1976"
"United States Institute of Peace","Agency Overall","2018","1","0","1","0","0","0","0","0","0","0","0","0","2"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","2","0","1","0","0","0","0","0","0","0","0","0","3"
"Nuclear Regulatory Commission","Agency Overall","2018","118","115","12","116","1","28","56","12","10","13","14","1","496"
"Overseas Private Investment Corporation","Agency Overall","2018","11","25","0","12","0","4","0","0","1","0","0","0","53"
"Selective Service System","Agency Overall","2018","35","0","0","15","4","0","0","0","0","0","0","0","54"
"Export-Import Bank of the U.S.","Agency Overall","2018","25","38","4","13","0","1","0","4","0","0","0","0","85"
"United States International Boundary and Water Commission","Agency Overall","2018","20","9","1","4","0","4","0","2","1","1","0","0","42"
"Department of Justice","Agency Overall","2018","41661","10086","3294","17918","342","949","733","768","11980","385","1397","1870","91383"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","2","0","0","0","0","0","0","0","0","0","0","0","2"
"United States Access Board","Agency Overall","2018","2","1","0","5","0","0","0","0","0","0","0","0","8"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","8","0","0","0","0","0","0","0","0","0","0","0","8"
"Office of Management and Budget","Agency Overall","2018","34","101","9","148","1","5","0","0","1","1","1","0","301"
"Federal Financial Institutions Examination Council","Agency Overall","2018","2","0","0","5","0","0","0","0","0","1","0","0","8"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","7","2","4","13","0","0","0","0","0","0","0","0","26"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","799","449","58","135","0","25","1","9","34","0","88","0","1598"
"Central Intelligence Agency","Agency Overall","2018","129","348","888","224","49","13","5","30","337","18","127","177","2345"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","2","9","1","2","4","1","0","0","0","0","0","0","19"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0","0","1","0","0","0","0","0","0","0","0","1"
"National Council on Disability","Agency Overall","2018","2","0","0","1","0","0","0","0","0","0","0","0","3"
"Postal Regulatory Commission","Agency Overall","2018","31","1","0","9","7","5","0","0","0","0","0","0","53"
"Farm Credit System Insurance Corporation","Agency Overall","2018","4","0","0","0","0","0","0","0","0","0","0","0","4"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","1","0","0","0","0","1","0","1","0","0","0","0","3"
"Federal Maritime Commission","Agency Overall","2018","6","8","3","10","0","1","0","0","0","0","0","0","28"
"National Labor Relations Board","Agency Overall","2018","287","802","58","95","0","202","24","22","11","0","46","0","1547"
"National Aeronautics and Space Administration","Agency Overall","2018","158","182","30","79","37","26","50","121","55","49","51","42","880"
"Department of Veterans Affairs","Agency Overall","2018","4203","10142","5615","1254","409","184","67","55","180","27","210","505","22851"
"Commission of Fine Arts","Agency Overall","2018","3","1","1","2","1","0","0","0","0","0","0","0","8"
"Department of Energy","Agency Overall","2018","531","359","20","340","218","281","26","34","24","33","27","0","1893"
"Environmental Protection Agency","Agency Overall","2018","4778","1022","58","2783","15","983","78","147","58","28","472","20","10442"
"National Endowment for the Humanities","Agency Overall","2018","18","21","0","15","0","0","0","0","0","0","0","0","54"
"U.S. Commission on Civil Rights","Agency Overall","2018","4","0","2","18","0","0","0","3","0","0","0","1","28"
"Department of Labor","Agency Overall","2018","1461","6258","1585","3235","269","588","171","69","125","343","574","1","14679"
"Federal Labor Relations Authority","Agency Overall","2018","23","13","2","18","0","2","0","2","0","0","2","0","62"
"National Science Foundation","Agency Overall","2018","26","219","12","52","4","33","0","0","3","0","0","0","349"
"Federal Energy Regulatory Commission","Agency Overall","2018","20","45","19","22","1","4","0","0","0","0","0","0","111"
"Federal Trade Commission","Agency Overall","2018","451","532","85","185","6","20","21","26","25","2","67","39","1459"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","2","10","7","2","5","2","0","1","1","0","0","0","30"
"Marine Mammal Commission","Agency Overall","2018","3","1","0","1","0","0","0","3","0","0","0","0","8"
"Office of Special Counsel","Agency Overall","2018","15","88","19","12","5","99","0","2","24","10","8","0","282"
"United States Postal Service","Agency Overall","2018","472","568","590","380","460","99","38","141","192","147","28","1","3116"
"Equal Employment Opportunity Commission","Agency Overall","2018","525","13306","1850","1164","203","455","45","34","744","20","771","17","19134"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","11","11","14","6","0","4","0","0","0","0","2","0","48"
"Department of the Interior","Agency Overall","2018","2265","1979","230","1285","48","271","138","120","54","27","108","476","7001"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","43","11","1","7","0","2","0","1","2","1","0","0","68"
"Denali Commission","Agency Overall","2018","0","4","0","0","0","0","0","0","0","0","0","0","4"
"National Archives and Records Administration","Agency Overall","2018","36163","4038","2435","2443","7174","124","5","88","38","35","71","487","53101"
"United States Copyright Office","Agency Overall","2018","12","7","2","2","15","1","0","1","0","4","0","0","44"
"Social Security Administration","Agency Overall","2018","11029","3083","814","630","22","37","459","189","56","34","107","171","16631"
"National Transportation Safety Board","Agency Overall","2018","53","68","130","85","0","115","0","0","70","11","17","0","549"
"Administrative Conference of the United States","Agency Overall","2018","3","1","0","15","0","0","0","0","0","0","0","0","19"
"National Credit Union Administration","Agency Overall","2018","52","59","11","21","0","8","0","3","0","0","0","0","154"
"Surface Transportation Board","Agency Overall","2018","24","0","0","10","0","2","0","3","1","1","0","0","41"
"Institute of Museum and Library Services","Agency Overall","2018","14","6","1","1","0","0","0","1","0","2","0","1","26"
"Tennessee Valley Authority","Agency Overall","2018","51","122","23","11","0","4","0","0","0","1","0","0","212"
"Council on Environmental Quality","Agency Overall","2018","25","34","1","55","1","2","7","4","19","0","6","2","156"
"Department of Transportation","Agency Overall","2018","8383","3326","153","2259","11","1730","43","15","44","20","76","22","16082"
"National Endowment for the Arts","Agency Overall","2018","15","24","3","34","0","0","0","0","0","0","0","0","76"
"Federal Open Market Committee","Agency Overall","2018","6","0","1","0","3","0","0","2","0","1","0","0","13"
"Consumer Product Safety Commission","Agency Overall","2018","115","173","23","56","20","24","0","0","6","3","6","14","440"
"Department of Defense","Agency Overall","2018","18571","15801","2652","6357","2160","2190","466","622","1047","1471","1828","1158","54323"
"Millennium Challenge Corporation","Agency Overall","2018","9","5","2","3","0","1","0","1","1","0","0","0","22"
"American Battle Monuments Commission","Agency Overall","2018","1","6","2","0","1","0","0","0","2","6","0","0","18"
"Social Security Advisory Board","Agency Overall","2018","3","0","0","0","0","0","0","0","0","0","0","0","3"
"Federal Election Commission","Agency Overall","2018","45","26","5","66","0","1","0","1","0","0","0","19","163"
"All agencies","Agency Overall","2018","222989","322520","35909","123046","14982","15257","3386","6619","39930","9372","29663","6387","830060"
