"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Federal Labor Relations Authority","Agency Overall","2020","0","35","<1","<1"
"Federal Open Market Committee","Agency Overall","2020","0","0","N/A","N/A"
"General Services Administration","Agency Overall","2020","20","120","<1","0.15"
"Department of Agriculture","Agency Overall","2020","1071","36","1","59.21"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","4","60","2.0","2.17"
"Federal Energy Regulatory Commission","Agency Overall","2020","0","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2020","18","6","18.5","23"
"Armed Forces Retirement Home","Agency Overall","2020","0","0","N/A","N/A"
"Presidio Trust","Agency Overall","2020","6","1","1","3"
"Federal Reserve System","Agency Overall","2020","0","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2020","1","0","1","1"
"Tennessee Valley Authority","Agency Overall","2020","0","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","0","N/A","N/A"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","2","0","3","3"
"Consumer Product Safety Commission","Agency Overall","2020","41","0","25","63"
"Nuclear Regulatory Commission","Agency Overall","2020","6","31","<1","<1"
"Inter-American Foundation","Agency Overall","2020","0","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2020","5","0","1","1"
"Legal Services Corporation","Agency Overall","2020","0","0","N/A","N/A"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","1","0","36","36"
"Department of Justice","Agency Overall","2020","101","1581","1","9.73"
"Office of Special Counsel","Agency Overall","2020","1","0","1","1"
"Federal Maritime Commission","Agency Overall","2020","0","0","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2020","164","495","2","5.5"
"Department of Transportation","Agency Overall","2020","81","96","<1","3.91"
"Department of the Interior","Agency Overall","2020","727","80","1.0","17.9"
"United States International Trade Commission","Agency Overall","2020","0","1","<1","<1"
"Department of Homeland Security","Agency Overall","2020","1087","1085","1","20.6"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","0","0","N/A","N/A "
"Denali Commission","Agency Overall","2020","0","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2020","2","2","10","10"
"National Railroad Passenger Corporation","Agency Overall","2020","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2020","168","114","7","8"
"Department of Education","Agency Overall","2020","306","41","8","30.14"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2020","1","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2020","9","190","<1","0.06"
"Department of the Treasury","Agency Overall","2020","108","763","1","3"
"U.S. Railroad Retirement Board","Agency Overall","2020","0","0","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2020","10","0","5","5"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","0","N/A","N/A"
"United States Access Board","Agency Overall","2020","0","1","4","4"
"Office of the United States Trade Representative","Agency Overall","2020","0","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2020","0","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","0","23","<1","<1"
"Office of the Director of National Intelligence","Agency Overall","2020","107","0","<1","<1"
"Federal Communications Commission","Agency Overall","2020","1","10","<1","1.82"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","0","1","1","1"
"Department of Commerce","Agency Overall","2020","286","233","<1","4.41"
"Office of National Drug Control Policy","Agency Overall","2020","0","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2020","6","0","1","2.50"
"United States Copyright Office","Agency Overall","2020","0","0","n/a","n/a"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","0","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","1","0","45","45"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","0","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2020","1","0","1","1"
"U.S. International Development Finance Corporation","Agency Overall","2020","1","0","15","15"
"United States Postal Service","Agency Overall","2020","64","0","2","6.39"
"Small Business Administration","Agency Overall","2020","34","24","<1","3.59"
"Appraisal Subcommittee","Agency Overall","2020","0","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2020","0","0","N/A","N/A"
"Social Security Administration","Agency Overall","2020","0","194","4","6"
"Marine Mammal Commission","Agency Overall","2020","0","0","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","0","N/A","N/A"
"National Mediation Board","Agency Overall","2020","0","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2020","1","0","17","17"
"Office of Government Ethics","Agency Overall","2020","0","0","N/A","N/A"
