"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Federal Labor Relations Authority","Agency Overall","2020","3","0"
"Federal Open Market Committee","Agency Overall","2020","0","0"
"General Services Administration","Agency Overall","2020","334","355"
"Department of Agriculture","Agency Overall","2020","2700","2546"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2020","40","21"
"Commodity Futures Trading Commission","Agency Overall","2020","8","6"
"Armed Forces Retirement Home","Agency Overall","2020","0","0"
"Presidio Trust","Agency Overall","2020","0","0"
"Federal Reserve System","Agency Overall","2020","14","17"
"Consumer Financial Protection Bureau","Agency Overall","2020","179","124"
"Tennessee Valley Authority","Agency Overall","2020","7","17"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0"
"Consumer Product Safety Commission","Agency Overall","2020","404","407"
"Nuclear Regulatory Commission","Agency Overall","2020","66","81"
"Inter-American Foundation","Agency Overall","2020","2","0"
"United States International Boundary and Water Commission","Agency Overall","2020","17","28"
"Legal Services Corporation","Agency Overall","2020","0","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","1","2"
"Department of Justice","Agency Overall","2020","25558","29933"
"Office of Special Counsel","Agency Overall","2020","68","14"
"Federal Maritime Commission","Agency Overall","2020","1","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","2"
"Securities and Exchange Commission","Agency Overall","2020","184","183"
"Department of Transportation","Agency Overall","2020","3578","4272"
"Department of the Interior","Agency Overall","2020","4116","4267"
"United States International Trade Commission","Agency Overall","2020","0","0"
"Department of Homeland Security","Agency Overall","2020","31454","36350"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","3","1"
"Denali Commission","Agency Overall","2020","0","0"
"National Indian Gaming Commission","Agency Overall","2020","2","1"
"National Railroad Passenger Corporation","Agency Overall","2020","83","57"
"National Archives and Records Administration","Agency Overall","2020","3359","3511"
"Department of Education","Agency Overall","2020","909","859"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","3","0"
"National Capital Planning Commission","Agency Overall","2020","0","0"
"National Labor Relations Board","Agency Overall","2020","35","3"
"Department of the Treasury","Agency Overall","2020","1495","2123"
"U.S. Railroad Retirement Board","Agency Overall","2020","2","1"
