"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Labor Relations Authority","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2020","0","0","2","1","1","0","0","0","0","0","0","0","0","4"
"General Services Administration","Agency Overall","2020","22","216","104","72","45","21","13","10","22","11","33","17","11","597"
"Department of Agriculture","Agency Overall","2020","795","308","154","83","63","55","35","46","31","22","162","125","311","2190"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","571","242","113","54","11","10","2","2","1","0","0","0","0","1006"
"Federal Energy Regulatory Commission","Agency Overall","2020","15","20","4","0","1","1","0","0","1","1","3","5","3","54"
"Commodity Futures Trading Commission","Agency Overall","2020","24","13","6","5","1","1","0","0","0","0","2","3","1","56"
"Armed Forces Retirement Home","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2020","109","84","47","23","11","9","4","3","1","1","5","0","1","298"
"Consumer Financial Protection Bureau","Agency Overall","2020","19","10","34","13","14","8","6","8","7","4","40","26","23","212"
"Tennessee Valley Authority","Agency Overall","2020","11","1","4","6","9","3","1","0","0","0","1","0","0","36"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2020","54","31","24","14","15","8","11","12","10","4","30","37","70","320"
"Nuclear Regulatory Commission","Agency Overall","2020","30","6","2","2","2","4","1","0","2","1","1","3","8","62"
"Inter-American Foundation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","1","0","1","2"
"United States International Boundary and Water Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
