"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Federal Labor Relations Authority","Agency Overall","2020","29430.00","0.00","29430.00","0.00","0.0000"
"Federal Open Market Committee","Agency Overall","2020","75950.00","0.00","75950.00","0.00","0.0000"
"General Services Administration","Agency Overall","2020","902552.64","12370.00","914922.64","44035.20","4.8800"
"Department of Agriculture","Agency Overall","2020","18215873.42","1495322.28","19711195.70","58864.48","0.3200"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","333432.00","0.00","333432.00","704.00","0.2100"
"Federal Energy Regulatory Commission","Agency Overall","2020","543681.00","0.00","543681.00","0.00","0.0000"
"Commodity Futures Trading Commission","Agency Overall","2020","311000.00","189000.00","500000.00","186.22","0.0600"
"Armed Forces Retirement Home","Agency Overall","2020","31030.00","0.00","31030.00","0.00","0.0000"
"Presidio Trust","Agency Overall","2020","14758.00","0.00","14758.00","0.00","0.0000"
"Federal Reserve System","Agency Overall","2020","1609305.60","39867.00","1649172.60","337.40","0.0200"
"Consumer Financial Protection Bureau","Agency Overall","2020","722000.00","61045.00","783045.00","1771.00","0.2500"
"Tennessee Valley Authority","Agency Overall","2020","234889.00","60000.00","294889.00","2440.50","1.0400"
"Federal Financial Institutions Examination Council","Agency Overall","2020","10168.00","0.00","10168.00","0.00","0.0000"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","100.00","0.00","100.00","0.00","0.0000"
"Consumer Product Safety Commission","Agency Overall","2020","500000.00","0.00","500000.00","0.00","0.0000"
"Nuclear Regulatory Commission","Agency Overall","2020","1624157.99","0.00","1624157.99","11442.65","0.7000"
"Inter-American Foundation","Agency Overall","2020","10000.00","0.00","10000.00","0.00","0.0000"
"United States International Boundary and Water Commission","Agency Overall","2020","75000.00","0.00","75000.00","0.00","0.0000"
"Legal Services Corporation","Agency Overall","2020","46627.00","0.00","46627.00","0.00","0.0000"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","333210.00","17275.00","350485.00","0.00","0.0000"
"Department of Justice","Agency Overall","2020","85367913.24","15704167.46","101072080.70","15948.12","0.0200"
"Office of Special Counsel","Agency Overall","2020","582019.23","0.00","582019.23","0.00","0.0000"
"Federal Maritime Commission","Agency Overall","2020","250400.10","0.00","250400.10","0.00","0.0000"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0.00","0.00","0.00","0.00","0.0000"
"Securities and Exchange Commission","Agency Overall","2020","9700308.00","461496.77","10161804.77","13791.68","0.1400"
"Department of Transportation","Agency Overall","2020","13679774.02","130757.57","13810531.59","262722.20","1.9200"
"Department of the Interior","Agency Overall","2020","17395899.50","4505630.91","21901530.41","30508.34","0.1800"
"United States International Trade Commission","Agency Overall","2020","50500.00","0.00","50500.00","0.00","0.0000"
"Department of Homeland Security","Agency Overall","2020","66991208.80","3955813.57","70947022.37","10493.56","0.0200"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","92091.00","0.00","92091.00","0.00","0.0000"
"Denali Commission","Agency Overall","2020","1000.00","0.00","1000.00","0.00","0.0000"
"National Indian Gaming Commission","Agency Overall","2020","60000.00","0.00","60000.00","1603.75","2.6700"
"National Railroad Passenger Corporation","Agency Overall","2020","50000.00","0.00","50000.00","0.00","0.0000"
"National Archives and Records Administration","Agency Overall","2020","4699368.00","27501.00","4726869.00","150.00","0.0000"
