"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Federal Labor Relations Authority","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Open Market Committee","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2020","2017-11-28","711","2017-11-28","711","2017-11-09","722","2017-11-03","726","2017-10-26","732","2017-10-24","734","2017-10-12","742","2017-08-28","771","2017-07-24","797","2017-06-06","829"
"Department of Agriculture","Agency Overall","2020","2015-08-18","1281","2015-08-14","1285","2015-07-02","1310","2015-06-26","1317","2015-06-18","1323","2015-04-20","1365","2015-04-06","1378","2014-11-03","1479","2014-10-06","1498","2013-04-20","1871"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","2020-09-02","19","2020-09-02","19","2020-09-02","19","2020-09-02","19","2020-09-02","19","2020-09-02","19","2020-09-02","19","2020-09-02","19","2020-09-02","19","2020-08-28","22"
"Federal Energy Regulatory Commission","Agency Overall","2020","2019-06-18","323","2019-04-24","361","2019-03-29","379","2019-03-06","396","2019-02-22","404","2019-01-23","425","2019-01-16","429","2019-01-04","437","2018-05-29","586","2013-08-26","1826"
"Commodity Futures Trading Commission","Agency Overall","2020","N/A","0","2020-09-24","4","2020-08-27","23","2020-08-19","29","2020-08-13","33","2020-07-20","51","2020-05-27","88","2020-05-18","94","2019-09-26","254","2019-03-22","385"
"Armed Forces Retirement Home","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Presidio Trust","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-09-01","20"
"Federal Reserve System","Agency Overall","2020","2020-05-29","88","2020-05-08","102","2020-04-24","112","2020-01-28","175","2020-01-08","189","2019-12-17","202","2019-12-05","210","2017-04-17","872","2017-04-06","879","2017-04-06","879"
"Consumer Financial Protection Bureau","Agency Overall","2020","2018-08-16","530","2018-07-13","554","2018-06-28","564","2018-06-26","566","2018-06-15","573","2018-06-12","576","2018-05-14","596","2018-05-10","598","2018-04-26","608","2018-03-13","640"
"Tennessee Valley Authority","Agency Overall","2020","2020-06-12","76","2020-06-09","79","2020-04-30","106","2020-04-27","109","2020-04-27","109","2020-04-20","114","2020-04-13","119","2020-03-27","130","2020-03-19","136","2020-03-03","148"
"Federal Financial Institutions Examination Council","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2020","2017-11-07","727","2017-10-25","736","2017-10-23","738","2017-10-03","751","2017-09-03","765","2017-09-07","769","2017-05-16","848","2017-01-31","922","2017-01-19","930","2016-11-18","970"
"Nuclear Regulatory Commission","Agency Overall","2020","2017-07-10","808","2017-06-01","834","2017-05-22","841","2017-03-31","877","2017-01-26","922","2017-01-13","930","2016-12-23","943","2016-11-15","970","2016-06-21","1071","2016-05-11","1099"
"Inter-American Foundation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2020","2019-11-19","222","2019-09-27","257","2019-06-17","330","2019-05-31","340","2019-03-21","388","2019-02-20","409","2019-02-19","410","2019-02-19","410","2018-12-31","444","2018-12-13","455"
"Legal Services Corporation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-09-29","1"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-08-03","41","2019-09-11","265"
"Department of Justice","Agency Overall","2020","2012-12-17","1952","2012-12-17","1952","2012-12-06","1959","2012-12-06","1959","2012-12-03","1962","2012-12-03","1962","2012-11-09","1976","2012-10-16","1994","2012-09-25","2008","2012-08-03","2044"
"Office of Special Counsel","Agency Overall","2020","2020-06-11","133","2020-05-28","143","2020-05-21","147","2020-05-11","155","2020-05-01","161","2020-04-30","162","2020-02-14","222","2020-01-31","224","2020-01-23","230","2020-01-02","244"
"Federal Maritime Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-09-29","1","2020-09-16","10"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-08-04","40","2020-05-20","92"
"Securities and Exchange Commission","Agency Overall","2020","2018-01-10","679","2018-01-10","679","2017-12-07","701","2017-10-23","730","2017-09-15","755","2017-07-07","804","2016-12-23","935","2016-08-01","1034","2015-10-09","1233","2015-09-15","1251"
"Department of Transportation","Agency Overall","2020","2013-09-17","1765","2013-09-05","1773","2013-08-30","1776","2013-07-29","1800","2013-07-22","1805","2013-06-17","1829","2013-05-28","1843","2013-04-24","1866","2013-03-13","1896","2012-06-21","2075"
"Department of the Interior","Agency Overall","2020","2015-11-23","1159","2015-11-20","1217","2015-10-13","1243","2015-09-29","1248","2015-08-11","1287","2015-07-07","1308","2015-07-10","1309","2015-07-02","1310","2015-04-27","1361","2015-03-13","1382"
"United States International Trade Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-08-22","3","2019-09-22","23","2019-09-18","31"
"Department of Homeland Security","Agency Overall","2020","2014-03-21","1626","2014-03-27","1629","2014-03-07","1634","2014-03-04","1651","2014-02-12","1651","2014-01-30","1672","2013-11-13","1724","2013-10-31","1732","2013-10-29","1734","2013-10-29","1734"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-09-16","10","2020-08-31","21","2020-08-18","30"
"Denali Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-09-25","4","2020-09-11","14","2015-01-15","1426"
"National Railroad Passenger Corporation","Agency Overall","2020","2018-03-22","630","2018-01-29","667","2017-12-19","692","2017-04-24","855","2017-03-13","885","2017-03-09","887","2017-03-07","889","2017-01-23","919","2017-01-09","926","2016-03-15","1130"
"National Archives and Records Administration","Agency Overall","2020","2007-11-19","3213","2007-07-26","3293","2007-02-08","3409","2006-08-10","3533","2006-04-19","3612","2006-01-25","3670","2005-03-24","3879","2004-12-20","3942","2004-12-20","3942","2004-12-20","3942"
"Department of Education","Agency Overall","2020","2017-03-01","896","2017-03-01","896","2017-02-28","897","2017-02-23","900","2017-02-21","902","2017-02-21","902","2017-02-08","910","2017-02-08","910","2017-01-02","934","2015-10-01","1237"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Capital Planning Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Labor Relations Board","Agency Overall","2020","2020-09-10","10","2020-09-10","14","2020-09-03","15","2020-09-08","16","2020-09-01","17","2020-09-02","19","2020-08-24","26","2020-08-04","41","2020-01-29","171","2020-01-06","183"
"Department of the Treasury","Agency Overall","2020","2014-06-17","1580","2014-06-12","1583","2014-05-09","1606","2014-03-21","1641","2014-01-31","1675","2013-08-23","1783","2012-05-22","2102","2011-05-31","2357","2011-02-09","2436","2008-01-28","3228"
"U.S. Railroad Retirement Board","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-07-22","50"
"Commission of Fine Arts","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Access Board","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-03-19","134"
"Office of the United States Trade Representative","Agency Overall","2020","2020-09-24","5","2020-09-18","9","2020-09-16","11","2020-09-15","12","2020-09-14","13","2020-09-11","14","2020-09-08","17","2020-09-08","17","2020-09-01","21","2019-10-08","244"
"Occupational Safety and Health Review Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","2020-09-28","2","2020-09-28","2","2020-09-28","2","2020-09-21","7","2020-08-04","40","2019-06-07","330"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","2019-02-26","402","2018-09-27","501","2018-09-26","502","2018-08-24","524","2018-06-13","555","2018-01-08","684","2018-01-08","684","2017-09-28","751","2017-09-20","757","2016-06-03","1083"
"Office of the Director of National Intelligence","Agency Overall","2020","2014-04-08","1629","2014-04-01","1634","2014-04-01","1634","2014-04-01","1634","2014-04-01","1634","2014-04-01","1634","2014-03-25","1639","2013-12-16","1706","2013-12-12","1708","2013-11-27","1718"
"Federal Communications Commission","Agency Overall","2020","2019-12-11","162","2019-11-26","211","2019-11-25","213","2018-09-17","400","2019-01-04","437","2018-11-19","465","2018-09-05","517","2018-07-18","540","2018-05-16","540","2016-11-18","966"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-09-29","1","2020-09-29","1","2020-09-15","11","2020-09-14","12","2020-05-19","93"
"Department of Commerce","Agency Overall","2020","2016-10-28","4","2017-05-31","834","2017-05-04","853","2017-03-23","858","2016-08-22","1028","2016-07-13","1056","2016-06-30","1064","2016-01-27","1173","2015-02-09","1414","2012-08-22","2030"
"Office of National Drug Control Policy","Agency Overall","2020","2018-08-29","518","2018-07-27","541","2018-07-10","554","2018-06-27","562","2018-06-27","562","2018-06-27","562","2018-04-27","604","2018-02-15","654","2018-02-15","654","2018-02-02","663"
"National Credit Union Administration","Agency Overall","2020","2020-09-02","19","2020-08-31","21","2020-08-28","22","2020-08-24","26","2020-08-20","28","2020-08-20","28","2020-08-20","28","2020-08-20","28","2020-08-20","28","2020-03-27","130"
"United States Copyright Office","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-05-13","97","2020-05-08","100","2018-11-05","474","2018-09-18","507","2018-08-15","530"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","2018-07-12","552","2018-04-24","607","2017-08-18","773","2017-07-28","788","2017-07-11","801","2017-01-31","913","2017-01-30","914","2017-01-30","914","2017-01-17","922","2016-04-25","1101"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","2020-08-12","284","2019-06-25","317","2019-06-17","323","2019-06-12","326","2019-06-10","328","2019-06-04","332","2019-05-20","342","2019-05-15","345","2019-05-06","352","2019-01-18","425"
"United States Trade and Development Agency","Agency Overall","2020","2016-10-24","975","2016-07-31","1033","2016-07-31","1033","2016-07-31","1033","2016-07-31","1033","2016-07-28","1035","2016-07-13","1046","2015-05-08","1339","2015-01-19","1416","2014-12-18","1433"
"U.S. International Development Finance Corporation","Agency Overall","2020","2020-04-24","110","2020-04-24","110","2020-03-24","132","2020-02-25","155","2019-11-07","223","2019-10-15","240","2019-09-19","257","2019-05-13","347","2019-03-18","386","2018-11-27","438"
