"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Labor Relations Authority","Agency Overall","2020","79","21","1","1","0","0","0","0","0","0","0","0","0","102"
"Federal Open Market Committee","Agency Overall","2020","11","0","0","0","0","0","0","0","0","0","0","0","0","11"
"General Services Administration","Agency Overall","2020","521","25","0","4","1","2","0","3","2","1","0","2","1","562"
"Department of Agriculture","Agency Overall","2020","17425","723","594","272","216","153","107","308","242","77","196","85","375","20773"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","1894","414","131","21","0","0","0","0","0","0","0","0","0","2460"
"Federal Energy Regulatory Commission","Agency Overall","2020","11","2","1","1","0","0","0","1","0","0","0","0","1","17"
"Commodity Futures Trading Commission","Agency Overall","2020","97","12","3","1","3","0","0","0","0","0","0","0","0","116"
"Armed Forces Retirement Home","Agency Overall","2020","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Presidio Trust","Agency Overall","2020","13","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Federal Reserve System","Agency Overall","2020","226","20","8","0","0","1","0","0","0","0","1","0","0","256"
"Consumer Financial Protection Bureau","Agency Overall","2020","158","32","0","1","0","0","0","0","0","0","0","0","0","191"
"Tennessee Valley Authority","Agency Overall","2020","149","38","4","0","0","1","0","0","0","0","0","0","0","192"
"Federal Financial Institutions Examination Council","Agency Overall","2020","8","2","0","0","0","0","0","0","0","0","0","0","0","10"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Consumer Product Safety Commission","Agency Overall","2020","62","10","12","3","6","4","1","1","1","0","8","10","17","135"
"Nuclear Regulatory Commission","Agency Overall","2020","139","33","8","3","2","0","0","0","0","0","0","0","1","186"
"Inter-American Foundation","Agency Overall","2020","7","1","0","0","0","0","0","0","0","0","0","0","0","8"
"United States International Boundary and Water Commission","Agency Overall","2020","22","5","7","1","2","1","0","1","1","0","0","0","0","40"
"Legal Services Corporation","Agency Overall","2020","10","3","0","0","0","0","0","0","0","0","0","0","0","13"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","8","0","0","1","0","0","0","0","0","0","0","0","0","9"
"Department of Justice","Agency Overall","2020","22409","9930","6366","4190","3267","2350","1410","1119","1858","940","1934","895","873","57541"
"Office of Special Counsel","Agency Overall","2020","33","9","7","2","4","0","2","2","0","2","4","1","0","66"
"Federal Maritime Commission","Agency Overall","2020","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2020","11323","1060","354","132","89","75","51","32","19","18","58","17","6","13234"
"Department of Transportation","Agency Overall","2020","8490","947","320","185","447","444","621","564","246","54","132","50","127","12627"
"Department of the Interior","Agency Overall","2020","1796","552","248","180","128","100","79","54","53","48","176","104","133","3651"
"United States International Trade Commission","Agency Overall","2020","29","0","0","0","0","0","0","0","0","0","0","0","0","29"
"Department of Homeland Security","Agency Overall","2020","109429","25313","15441","10097","5622","3563","2213","1487","1084","991","2009","611","359","178219"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","12","8","3","0","0","0","1","0","0","0","0","0","0","24"
"Denali Commission","Agency Overall","2020","11","0","0","0","0","0","0","0","0","0","0","0","0","11"
"National Indian Gaming Commission","Agency Overall","2020","20","1","0","0","0","0","0","0","0","0","0","0","0","21"
"National Railroad Passenger Corporation","Agency Overall","2020","0","1","1","0","0","0","0","0","0","0","0","0","0","2"
"National Archives and Records Administration","Agency Overall","2020","23922","491","96","49","41","12","13","10","2","2","11","9","388","25046"
"Department of Education","Agency Overall","2020","1357","84","0","1","0","0","0","0","0","0","0","0","0","1442"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","25","0","0","0","0","0","0","0","0","0","0","0","0","25"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","6","0","0","0","0","1","0","0","0","0","0","0","0","7"
"National Capital Planning Commission","Agency Overall","2020","9","0","0","0","0","0","0","0","0","0","0","0","0","9"
"National Labor Relations Board","Agency Overall","2020","945","148","32","16","11","5","6","6","2","4","9","2","1","1187"
"Department of the Treasury","Agency Overall","2020","1938","198","64","26","13","7","8","6","1","2","7","1","8","2279"
"U.S. Railroad Retirement Board","Agency Overall","2020","64","11","2","0","1","0","1","0","0","0","0","0","1","80"
"Commission of Fine Arts","Agency Overall","2020","6","1","0","0","0","0","0","0","0","0","0","0","0","7"
"U.S. Commission on Civil Rights","Agency Overall","2020","9","10","6","1","5","0","0","0","0","0","0","0","0","31"
"United States Access Board","Agency Overall","2020","21","0","0","4","0","0","0","3","2","0","1","0","0","31"
"Office of the United States Trade Representative","Agency Overall","2020","98","10","6","3","2","0","1","0","0","0","0","0","0","120"
"Occupational Safety and Health Review Commission","Agency Overall","2020","103","0","0","0","0","0","0","0","0","0","0","0","0","103"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","37","15","4","0","0","0","0","0","0","0","0","1","10","67"
"Office of the Director of National Intelligence","Agency Overall","2020","187","0","0","0","1","1","0","0","0","0","0","1","0","190"
"Federal Communications Commission","Agency Overall","2020","344","33","0","0","0","0","0","0","0","0","0","0","0","377"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","29","4","1","0","0","0","0","0","0","0","0","0","0","34"
"Department of Commerce","Agency Overall","2020","595","136","50","16","13","16","8","10","10","25","39","25","38","981"
"Office of National Drug Control Policy","Agency Overall","2020","33","0","0","0","0","0","0","0","0","0","0","0","0","33"
"National Credit Union Administration","Agency Overall","2020","28","0","0","0","0","0","0","0","0","0","0","0","0","28"
"United States Copyright Office","Agency Overall","2020","44","5","0","1","0","0","0","0","0","0","0","0","0","50"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","8","2","0","0","0","0","0","0","0","1","0","0","0","11"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","28","1","1","0","0","0","0","0","0","0","0","0","0","30"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"United States Trade and Development Agency","Agency Overall","2020","3","1","1","1","0","0","0","0","0","0","0","0","0","6"
"U.S. International Development Finance Corporation","Agency Overall","2020","4","23","4","1","2","0","0","0","0","0","0","0","0","34"
"United States Postal Service","Agency Overall","2020","2549","217","38","10","3","4","0","0","0","0","0","0","1","2822"
"Small Business Administration","Agency Overall","2020","1352","923","95","29","15","5","6","2","0","0","1","0","0","2428"
"Appraisal Subcommittee","Agency Overall","2020","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Surface Transportation Board","Agency Overall","2020","24","1","0","0","0","0","0","0","0","0","0","0","0","25"
"Social Security Administration","Agency Overall","2020","6450","438","111","24","453","49","45","3","1","2","0","1","0","7577"
"Marine Mammal Commission","Agency Overall","2020","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"National Mediation Board","Agency Overall","2020","17","0","0","0","0","0","0","0","0","0","0","0","0","17"
