"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Federal Labor Relations Authority","Agency Overall","2020","16","16.5","10","25"
"Federal Open Market Committee","Agency Overall","2020","0","0","N/A","N/A"
"General Services Administration","Agency Overall","2020","36.0","69.53","3","577"
"Department of Agriculture","Agency Overall","2020","661","649.86","<1","2280"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","17.0","15.0","3","25"
"Federal Energy Regulatory Commission","Agency Overall","2020","30","34","24","64"
"Commodity Futures Trading Commission","Agency Overall","2020","10.5","10.5","5","16"
"Armed Forces Retirement Home","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2020","44","55","18","236"
"Consumer Financial Protection Bureau","Agency Overall","2020","20","19.8","13","24"
"Tennessee Valley Authority","Agency Overall","2020","20","20","20","20"
"Federal Financial Institutions Examination Council","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2020","14.5","19.07","<1","90"
"Nuclear Regulatory Commission","Agency Overall","2020","17.5","50.33","<1","927"
"Inter-American Foundation","Agency Overall","2020","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2020","20","20","20","20"
"Legal Services Corporation","Agency Overall","2020","0","0","0","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2020","39","62.95","<1","405"
"Office of Special Counsel","Agency Overall","2020","13","13","7","19"
"Federal Maritime Commission","Agency Overall","2020","17","17","17","17"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2020","14","23.24","<1","347"
"Department of Transportation","Agency Overall","2020","20","82.83","<1","1081"
"Department of the Interior","Agency Overall","2020","152.0","260.5","1","1586"
"United States International Trade Commission","Agency Overall","2020","7","7","7","7"
"Department of Homeland Security","Agency Overall","2020","11","28","1","1108"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2020","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2020","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2020","252","252","252","252"
"National Archives and Records Administration","Agency Overall","2020","36","201.28","4","1067"
"Department of Education","Agency Overall","2020","153","304.61","0","1299"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2020","N/A","N/A","0","0"
"National Labor Relations Board","Agency Overall","2020","17.5","13.0","<1","20"
"Department of the Treasury","Agency Overall","2020","17","343","<1","2217"
"U.S. Railroad Retirement Board","Agency Overall","2020","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2020","0","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","0","N/A","0"
"United States Access Board","Agency Overall","2020","20","20","20","20"
"Office of the United States Trade Representative","Agency Overall","2020","14","15","13","20"
"Occupational Safety and Health Review Commission","Agency Overall","2020","8.5","8.5","6","11"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","20","20","20","20"
"Office of the Director of National Intelligence","Agency Overall","2020","111","320.07","1","1889"
"Federal Communications Commission","Agency Overall","2020","17.5","51.33","<1","208"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","20","20","20","20"
"Department of Commerce","Agency Overall","2020","20","189.26","2","1692"
"Office of National Drug Control Policy","Agency Overall","2020","20","20","20","20"
"National Credit Union Administration","Agency Overall","2020","19","19","19","19"
"United States Copyright Office","Agency Overall","2020","33.5","72.2","20","169"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","91","91","91","91"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","N/A","N/A","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2020","N/A","N/A","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2020","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2020","17.5","16.9","3","29"
"Small Business Administration","Agency Overall","2020","15.5","19","4","75"
"Appraisal Subcommittee","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2020","8","19","1","299"
"Marine Mammal Commission","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","0","0","0"
"National Mediation Board","Agency Overall","2020","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2020","33","59.51","11","228"
"Office of Government Ethics","Agency Overall","2020","18","16.3","13","18"
"Office of Management and Budget","Agency Overall","2020","183","183","183","183"
"Farm Credit Administration","Agency Overall","2020","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2020","20","20","20","20"
"Merit Systems Protection Board","Agency Overall","2020","19","20.28","<1","71"
"United States Institute of Peace","Agency Overall","2020","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2020","32","41.75","20","83"
"Administrative Conference of the United States","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2020","22","22","1","22"
"U.S. Election Assistance Commission","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2020","30","30","30","30"
"American Battle Monuments Commission","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2020","68","101.2","7","419"
"Department of Health and Human Services","Agency Overall","2020","80.92","223.16","<1","1707"
"Central Intelligence Agency","Agency Overall","2020","<1","94.33","<1","1569"
"Selective Service System","Agency Overall","2020","0","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","16","16","16","16"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2020","19","17.52","4","21"
"United States African Development Foundation","Agency Overall","2020","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","0","N/A","0"
"Department of Energy","Agency Overall","2020","10","10","<1","24"
"Department of Housing and Urban Development","Agency Overall","2020","19","18.29","3","20"
"U.S. Agency for International Development","Agency Overall","2020","73.00","81.59","16","273"
"Department of Veterans Affairs","Agency Overall","2020","110.5","299.62","6","870.5"
"U.S. Department of State","Agency Overall","2020","556","714.10","37","2095"
"Court Services and Offender Supervision Agency","Agency Overall","2020","10.5","10.5","4","17"
"Institute of Museum and Library Services","Agency Overall","2020","N/A","N/A","0","0"
"National Endowment for the Arts","Agency Overall","2020","19","19","19","19"
"Equal Employment Opportunity Commission","Agency Overall","2020","19","18.85","<1","94"
"Export-Import Bank of the U.S.","Agency Overall","2020","64","64","0","64"
"Office of Personnel Management","Agency Overall","2020","40","90","1","1001"
"Department of Labor","Agency Overall","2020","282","378","1","1312"
"Federal Mediation and Conciliation Service","Agency Overall","2020","8","8","8","8"
"Federal Deposit Insurance Corporation","Agency Overall","2020","20","21.2","18","28"
"National Aeronautics and Space Administration","Agency Overall","2020","32.50","47.24","1","201"
"Advisory Council on Historic Preservation","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2020","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2020","16","48","3","205"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","20","20","20","20"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2020","25","174.74","1","2622"
"Environmental Protection Agency","Agency Overall","2020","20","182.74","<1","1690"
"Federal Housing Finance Agency","Agency Overall","2020","15.00","12.00","5","16"
"National Council on Disability","Agency Overall","2020","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","19","19","19","19"
"U.S. Agency for Global Media","Agency Overall","2020","23","23","23","23"
"Farm Credit System Insurance Corporation","Agency Overall","2020","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2020","N/A","N/A","N/A","N/A"
