"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Labor Relations Authority","Agency Overall","2020","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Federal Open Market Committee","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2020","14","9","2","3","1","0","1","1","2","2","7","5","1","48"
"Department of Agriculture","Agency Overall","2020","21","4","1","1","1","0","0","0","1","1","0","0","4","34"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2020","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Armed Forces Retirement Home","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2020","1","0","0","0","1","0","0","0","0","0","1","1","0","4"
"Nuclear Regulatory Commission","Agency Overall","2020","3","0","0","0","0","0","0","0","1","0","0","0","0","4"
"Inter-American Foundation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2020","334","93","49","14","14","5","9","8","2","5","12","9","33","587"
"Office of Special Counsel","Agency Overall","2020","13","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Federal Maritime Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2020","6","1","1","0","0","0","1","0","0","1","0","1","0","11"
"Department of Transportation","Agency Overall","2020","3","0","0","0","0","0","0","0","0","0","1","0","0","4"
"Department of the Interior","Agency Overall","2020","13","4","3","0","0","2","0","0","0","0","1","4","11","38"
"United States International Trade Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2020","283","98","58","25","26","17","12","5","3","3","20","11","58","619"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"National Archives and Records Administration","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2020","10","2","1","0","0","2","0","0","1","0","0","2","0","18"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2020","94","10","0","0","0","1","0","0","1","0","0","0","0","106"
"Department of the Treasury","Agency Overall","2020","11","11","2","3","0","1","1","1","0","0","1","2","5","38"
"U.S. Railroad Retirement Board","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2020","3","2","0","2","0","0","0","0","0","0","0","0","0","7"
"Occupational Safety and Health Review Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2020","1","0","0","0","2","1","0","0","0","0","0","0","0","4"
"Federal Communications Commission","Agency Overall","2020","39","4","2","1","2","0","0","1","3","0","1","0","0","53"
