"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Labor Relations Authority","Agency Overall","2020","7","11.04","<1","79","N/A","N/A","N/A","N/A","1","1","1","1"
"Federal Open Market Committee","Agency Overall","2020","3","6.1","<1","20","60.5","64","45","90","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2020","11.0","16.02","<1","682","52.0","87.46","2","804","57.0","124.46","3","663"
"Department of Agriculture","Agency Overall","2020","<1","27.92","<1","1675","40","168.05","<1","2022","8","105.53","<1","900"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","12.0","15.51","<1","74","18.0","24.45","<1","163","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2020","20","66","6","634","30","106","7","621","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2020","6","12","<1","88","22.5","63","<1","572","34","34","34","34"
"Armed Forces Retirement Home","Agency Overall","2020","16","16","13","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2020","2","4","1","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2020","9","12","1","247","28","43","1","784","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2020","10","11.78","1","75","143","190.46","1","656","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2020","11","14.14","1","113","64.5","67.17","19","268","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2020","9","10.73","1","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","6","6","3","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2020","30","119.51","<1","586","147.5","219.42","<1","841","169.5","181.75","14","374"
"Nuclear Regulatory Commission","Agency Overall","2020","9","17.11","<1","533","21.5","156.16","<1","974","6","47.5","3","175"
"Inter-American Foundation","Agency Overall","2020","14.5","13.38","1","37","533","533","279","787","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2020","16.5","32.3","1","175","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2020","14.75","15.40","1","34","N/A","N/A","N/A","N/A","25","25","25","25"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","5","12.56","1","74","73","73","73","73","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2020","33","64.37","<1","943","78","228.03","<1","2025","16","68.35","<1","820"
"Office of Special Counsel","Agency Overall","2020","28","51.94","1","235","179","206.36","1","598","4","10","1","15"
"Federal Maritime Commission","Agency Overall","2020","3","3.7","1","7","21","30.3","7","99","N/A","N/A","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2020","6","13.79","<1","640","727","689","178","1343","21","74.7","4","310"
"Department of Transportation","Agency Overall","2020","16","50.65","<1","2172","71","175.43","<1","2359","3","67.75","1","264"
"Department of the Interior","Agency Overall","2020","22.0","78.77","<1","1382","110.0","217.91","<1","1318","43.0","256.92","<1","775"
"United States International Trade Commission","Agency Overall","2020","18","16","5","20","28","28","27","30","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2020","16","34.1","<1","1183","51","73.8","<1","1983","26","103.8","<1","903"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","20","24","9","123","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2020","3","7","1","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2020","5","6","2","23","49","158","24","713","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2020","19.5","217.25","1","830","75","198.7","1","1182","354.5","354.5","1","709"
"National Archives and Records Administration","Agency Overall","2020","6","11","1","2266","426","815","1","4987","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2020","6","8.34","<1","72","114","213.02","<1","1082","16","72.06","<1","388"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","3","4.1","1","14","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","17","26","1","113","847","919","604","1306","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2020","6","5.9","3","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2020","8.0","18.31","<1","449","N/A","N/A","N/A","N/A","4.5","10.38","<1","177"
"Department of the Treasury","Agency Overall","2020","2","13","<1","695","13","39","<1","2441","31","118","5","756"
"U.S. Railroad Retirement Board","Agency Overall","2020","28","71.82","<1","1357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2020","13","13","4","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2020","27","50","1","100","172","112","11","225","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2020","3","43","<1","217","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2020","19","23","1","130","103","106","17","254","21","34","7","68"
