"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Federal Labor Relations Authority","Agency Overall","2020","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2020","0","0","0","0"
"General Services Administration","Agency Overall","2020","0","12","12","0"
"Department of Agriculture","Agency Overall","2020","44","206","222","28"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","0","1","1","0"
"Federal Energy Regulatory Commission","Agency Overall","2020","0","1","1","0"
"Commodity Futures Trading Commission","Agency Overall","2020","0","7","7","0"
"Armed Forces Retirement Home","Agency Overall","2020","0","0","0","0"
"Presidio Trust","Agency Overall","2020","0","0","0","0"
"Federal Reserve System","Agency Overall","2020","4","8","9","3"
"Consumer Financial Protection Bureau","Agency Overall","2020","0","18","18","0"
"Tennessee Valley Authority","Agency Overall","2020","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2020","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2020","3","7","7","3"
"Inter-American Foundation","Agency Overall","2020","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2020","0","4","4","0"
"Legal Services Corporation","Agency Overall","2020","0","0","0","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","0","0","0","0"
"Department of Justice","Agency Overall","2020","355","1102","1023","434"
"Office of Special Counsel","Agency Overall","2020","1","9","9","1"
"Federal Maritime Commission","Agency Overall","2020","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","3","3","0"
"Securities and Exchange Commission","Agency Overall","2020","2","10","11","1"
"Department of Transportation","Agency Overall","2020","25","55","47","33"
"Department of the Interior","Agency Overall","2020","25","223","221","27"
"United States International Trade Commission","Agency Overall","2020","0","0","0","0"
"Department of Homeland Security","Agency Overall","2020","430","544","585","389"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","0","0","0","0"
"Denali Commission","Agency Overall","2020","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2020","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2020","0","0","0","0"
