"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Federal Labor Relations Authority","Agency Overall","2020","",""
"Federal Open Market Committee","Agency Overall","2020","",""
"General Services Administration","Agency Overall","2020","",""
"Department of Agriculture","Agency Overall","2020","",""
"Pension Benefit Guaranty Corporation","Agency Overall","2020","",""
"Federal Energy Regulatory Commission","Agency Overall","2020","",""
"Commodity Futures Trading Commission","Agency Overall","2020","",""
"Armed Forces Retirement Home","Agency Overall","2020","",""
"Presidio Trust","Agency Overall","2020","",""
"Federal Reserve System","Agency Overall","2020","",""
"Consumer Financial Protection Bureau","Agency Overall","2020","",""
"Tennessee Valley Authority","Agency Overall","2020","",""
"Federal Financial Institutions Examination Council","Agency Overall","2020","",""
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","",""
"Consumer Product Safety Commission","Agency Overall","2020","",""
"Nuclear Regulatory Commission","Agency Overall","2020","",""
"Inter-American Foundation","Agency Overall","2020","",""
"United States International Boundary and Water Commission","Agency Overall","2020","",""
"Legal Services Corporation","Agency Overall","2020","",""
"National Security Commission on Artificial Intelligence","Agency Overall","2020","",""
"Department of Justice","Agency Overall","2020","",""
"Office of Special Counsel","Agency Overall","2020","",""
"Federal Maritime Commission","Agency Overall","2020","",""
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","",""
"Securities and Exchange Commission","Agency Overall","2020","",""
"Department of Transportation","Agency Overall","2020","",""
"Department of the Interior","Agency Overall","2020","",""
"United States International Trade Commission","Agency Overall","2020","",""
"Department of Homeland Security","Agency Overall","2020","",""
"Federal Retirement Thrift Investment Board","Agency Overall","2020","",""
"Denali Commission","Agency Overall","2020","",""
"National Indian Gaming Commission","Agency Overall","2020","",""
"National Railroad Passenger Corporation","Agency Overall","2020","",""
"National Archives and Records Administration","Agency Overall","2020","",""
"Department of Education","Agency Overall","2020","",""
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","",""
"Neighborhood Reinvestment Corporation","Agency Overall","2020","",""
"National Capital Planning Commission","Agency Overall","2020","",""
"National Labor Relations Board","Agency Overall","2020","",""
"Department of the Treasury","Agency Overall","2020","",""
"U.S. Railroad Retirement Board","Agency Overall","2020","",""
"Commission of Fine Arts","Agency Overall","2020","",""
"U.S. Commission on Civil Rights","Agency Overall","2020","",""
"United States Access Board","Agency Overall","2020","",""
"Office of the United States Trade Representative","Agency Overall","2020","",""
"Occupational Safety and Health Review Commission","Agency Overall","2020","",""
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","",""
"Office of the Director of National Intelligence","Agency Overall","2020","",""
"Federal Communications Commission","Agency Overall","2020","",""
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","",""
"Department of Commerce","Agency Overall","2020","",""
"Office of National Drug Control Policy","Agency Overall","2020","",""
"National Credit Union Administration","Agency Overall","2020","",""
"United States Copyright Office","Agency Overall","2020","",""
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","",""
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","",""
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","",""
"United States Trade and Development Agency","Agency Overall","2020","",""
"U.S. International Development Finance Corporation","Agency Overall","2020","",""
"United States Postal Service","Agency Overall","2020","",""
"Small Business Administration","Agency Overall","2020","",""
"Appraisal Subcommittee","Agency Overall","2020","",""
"Surface Transportation Board","Agency Overall","2020","",""
"Social Security Administration","Agency Overall","2020","",""
"Marine Mammal Commission","Agency Overall","2020","",""
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","",""
"National Mediation Board","Agency Overall","2020","",""
"National Transportation Safety Board","Agency Overall","2020","",""
"Office of Government Ethics","Agency Overall","2020","",""
"Office of Management and Budget","Agency Overall","2020","",""
"Farm Credit Administration","Agency Overall","2020","",""
"National Science Foundation","Agency Overall","2020","",""
"Merit Systems Protection Board","Agency Overall","2020","",""
"United States Institute of Peace","Agency Overall","2020","",""
"Social Security Advisory Board","Agency Overall","2020","",""
"Council on Environmental Quality","Agency Overall","2020","",""
"Administrative Conference of the United States","Agency Overall","2020","",""
"Office of Science and Technology Policy","Agency Overall","2020","",""
"U.S. Election Assistance Commission","Agency Overall","2020","",""
"Millennium Challenge Corporation","Agency Overall","2020","",""
"American Battle Monuments Commission","Agency Overall","2020","",""
"Federal Election Commission","Agency Overall","2020","",""
"Department of Health and Human Services","Agency Overall","2020","",""
"Central Intelligence Agency","Agency Overall","2020","",""
"Selective Service System","Agency Overall","2020","",""
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","",""
"U.S. Interagency Council on Homelessness","Agency Overall","2020","",""
"Federal Trade Commission","Agency Overall","2020","",""
"United States African Development Foundation","Agency Overall","2020","",""
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","",""
"Department of Energy","Agency Overall","2020","",""
"Department of Housing and Urban Development","Agency Overall","2020","",""
"U.S. Agency for International Development","Agency Overall","2020","",""
"Department of Veterans Affairs","Agency Overall","2020","",""
"U.S. Department of State","Agency Overall","2020","",""
