"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Federal Labor Relations Authority","Agency Overall","2020","5","0","0","1","6"
"Federal Open Market Committee","Agency Overall","2020","0","0","0","0","0"
"General Services Administration","Agency Overall","2020","13","11","2","8","34"
"Department of Agriculture","Agency Overall","2020","128","304","20","140","592"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","6","1","0","8","15"
"Federal Energy Regulatory Commission","Agency Overall","2020","4","2","0","3","9"
"Commodity Futures Trading Commission","Agency Overall","2020","3","0","2","0","5"
"Armed Forces Retirement Home","Agency Overall","2020","0","0","0","0","0"
"Presidio Trust","Agency Overall","2020","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2020","15","6","1","4","26"
"Consumer Financial Protection Bureau","Agency Overall","2020","7","3","4","2","16"
"Tennessee Valley Authority","Agency Overall","2020","1","0","0","1","2"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2020","5","3","3","3","14"
"Nuclear Regulatory Commission","Agency Overall","2020","16","1","0","7","24"
"Inter-American Foundation","Agency Overall","2020","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2020","0","0","1","0","1"
"Legal Services Corporation","Agency Overall","2020","0","0","0","0","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","0","0","0","0","0"
"Department of Justice","Agency Overall","2020","1682","89","227","803","2801"
"Office of Special Counsel","Agency Overall","2020","5","2","1","1","9"
"Federal Maritime Commission","Agency Overall","2020","1","0","0","0","1"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2020","483","22","80","14","599"
"Department of Transportation","Agency Overall","2020","14","12","30","29","85"
"Department of the Interior","Agency Overall","2020","49","15","58","74","196"
"United States International Trade Commission","Agency Overall","2020","1","0","0","0","1"
