"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Federal Labor Relations Authority","Agency Overall","2020","0","6","6","0"
"Federal Open Market Committee","Agency Overall","2020","0","0","0","0"
"General Services Administration","Agency Overall","2020","14","35","34","15"
"Department of Agriculture","Agency Overall","2020","1056","362","592","826"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","1","15","15","1"
"Federal Energy Regulatory Commission","Agency Overall","2020","4","5","9","0"
"Commodity Futures Trading Commission","Agency Overall","2020","0","5","5","0"
"Armed Forces Retirement Home","Agency Overall","2020","0","0","0","0"
"Presidio Trust","Agency Overall","2020","0","0","0","0"
"Federal Reserve System","Agency Overall","2020","5","26","26","5"
"Consumer Financial Protection Bureau","Agency Overall","2020","2","14","16","0"
"Tennessee Valley Authority","Agency Overall","2020","0","2","2","0"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2020","1","13","14","0"
"Nuclear Regulatory Commission","Agency Overall","2020","4","24","24","4"
"Inter-American Foundation","Agency Overall","2020","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2020","0","1","1","0"
"Legal Services Corporation","Agency Overall","2020","0","0","0","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","0","0","0","0"
"Department of Justice","Agency Overall","2020","704","2802","2801","705"
"Office of Special Counsel","Agency Overall","2020","0","9","9","0"
"Federal Maritime Commission","Agency Overall","2020","0","1","1","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2020","15","585","599","1"
"Department of Transportation","Agency Overall","2020","99","119","85","133"
"Department of the Interior","Agency Overall","2020","432","175","196","411"
"United States International Trade Commission","Agency Overall","2020","0","1","1","0"
"Department of Homeland Security","Agency Overall","2020","764","6605","6851","518"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","0","1","0","1"
"Denali Commission","Agency Overall","2020","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2020","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2020","9","3","1","11"
"National Archives and Records Administration","Agency Overall","2020","106","49","56","99"
"Department of Education","Agency Overall","2020","92","52","82","62"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2020","0","0","0","0"
"National Labor Relations Board","Agency Overall","2020","1","17","18","0"
"Department of the Treasury","Agency Overall","2020","106","166","212","60"
"U.S. Railroad Retirement Board","Agency Overall","2020","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2020","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","0","0","0"
