"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Federal Labor Relations Authority","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"General Services Administration","Agency Overall","2020","163","169.0","197.83","237","279.0","291.80","30","282.0","330.8"
"Department of Agriculture","Agency Overall","2020","2034","123","203.18","922","167","232.97","22","105","175"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","118","8.0","8.43","52","13.0","12.15","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2020","8","25","172","45","130","200","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2020","1","33","33","8","69.5","116","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Presidio Trust","Agency Overall","2020","1","20","20","0","N/A","N/A","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2020","14","4","7","36","23","119","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2020","4","11.5","11","131","318","307","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2020","13","6","6","21","75","74","1","54","54"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2020","98","343","326","407","277","300","1","370","370"
"Nuclear Regulatory Commission","Agency Overall","2020","6","7.5","84","82","336","413.5","1","5","5"
"Inter-American Foundation","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2020","28","217.5","221.46","0","N/A","N/A","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2020","1","1","1","0","N/A","N/A","0","N/A","N/A"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","0","N/A","N/A","1","41","41","1","265","265"
"Department of Justice","Agency Overall","2020","17937","93","152.18","16994","311","386.41","588","246","367.48"
"Office of Special Counsel","Agency Overall","2020","12","39.5","41","21","36","43","7","5","10"
"Federal Maritime Commission","Agency Overall","2020","0","N/A","N/A","2","5.5","5.5","0","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","2","66","66","0","N/A","N/A","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2020","633","9","40","4","1096","1067","4","46","51"
"Department of Transportation","Agency Overall","2020","3047","80","248.52","2505","281","399.6","15","106","166.2"
"Department of the Interior","Agency Overall","2020","2041","267.0","278.58","2460","397.5","421.04","53","392.0","411.72"
"United States International Trade Commission","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2020","17474","11","37.1","41526","53","129.7","324","93","164.9"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","3","10","20","0","N/A","N/A ","0","N/A","N/A"
"Denali Commission","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2020","1","4","4","2","720","720","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2020","7","3","184","125","157","225","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2020","1102","397","588.24","2374","860","1350.7","35","448","565.25"
"Department of Education","Agency Overall","2020","13","18","117","939","252","319","4","467","465"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2020","42","4.5","15.43","0","N/A","N/A","4","3.5","3.75"
"Department of the Treasury","Agency Overall","2020","164","54","141","2482","128","280","49","432","442"
"U.S. Railroad Retirement Board","Agency Overall","2020","1","50","50","0","N/A","N/A","0","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
