"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Federal Labor Relations Authority","Agency Overall","2020","12","37","1","37","0","0","1","3","1","14","1","0","107"
"Federal Open Market Committee","Agency Overall","2020","5","1","2","1","6","0","0","4","0","0","0","0","19"
"General Services Administration","Agency Overall","2020","260","549","26","148","41","57","86","89","18","98","57","0","1429"
"Department of Agriculture","Agency Overall","2020","17800","2548","289","861","105","1024","28","50","61","61","210","66","23103"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","2684","381","78","114","2","35","8","14","28","1","180","0","3525"
"Federal Energy Regulatory Commission","Agency Overall","2020","11","37","15","8","0","0","0","0","0","0","0","0","71"
"Commodity Futures Trading Commission","Agency Overall","2020","40","50","31","37","1","5","0","0","11","2","0","7","184"
"Armed Forces Retirement Home","Agency Overall","2020","0","1","0","1","0","0","0","0","0","0","0","0","2"
"Presidio Trust","Agency Overall","2020","3","5","0","3","0","0","2","0","0","0","0","0","13"
"Federal Reserve System","Agency Overall","2020","280","77","34","82","2","21","2","45","15","46","3","8","615"
"Consumer Financial Protection Bureau","Agency Overall","2020","67","168","24","55","1","51","1","3","5","23","13","0","411"
"Tennessee Valley Authority","Agency Overall","2020","79","86","18","27","0","2","12","11","0","4","0","0","239"
"Federal Financial Institutions Examination Council","Agency Overall","2020","1","0","0","5","0","0","0","0","1","4","0","0","11"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0","0","1","0","0","0","1","0","0","0","0","2"
"Consumer Product Safety Commission","Agency Overall","2020","109","156","203","0","13","18","0","0","4","3","0","0","506"
"Nuclear Regulatory Commission","Agency Overall","2020","57","78","23","39","1","36","11","21","6","9","7","0","288"
"Inter-American Foundation","Agency Overall","2020","2","4","0","4","0","0","0","0","0","0","0","0","10"
"United States International Boundary and Water Commission","Agency Overall","2020","24","6","0","7","0","3","0","0","0","0","0","0","40"
"Legal Services Corporation","Agency Overall","2020","6","3","1","3","0","0","0","0","0","0","0","0","13"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","2","0","0","6","1","0","0","0","0","0","0","1","10"
"Department of Justice","Agency Overall","2020","39256","9514","3291","14379","236","1061","181","681","11347","538","2067","1891","84442"
"Office of Special Counsel","Agency Overall","2020","21","84","17","23","6","29","0","1","4","4","4","0","193"
"Federal Maritime Commission","Agency Overall","2020","1","6","1","12","0","0","0","1","0","0","0","0","21"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2020","6495","764","1113","4119","95","507","27","0","0","52","86","0","13258"
"Department of Transportation","Agency Overall","2020","5477","4715","186","2434","172","1230","698","131","225","53","72","40","15433"
"Department of the Interior","Agency Overall","2020","1659","1644","217","1018","52","249","85","131","60","56","128","607","5906"
"United States International Trade Commission","Agency Overall","2020","3","6","1","20","2","0","0","0","0","1","0","0","33"
"Department of Homeland Security","Agency Overall","2020","35764","217915","9334","77240","3498","1710","16","2701","25420","1665","17030","330","392623"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","6","5","0","9","0","5","0","1","1","0","2","0","29"
"Denali Commission","Agency Overall","2020","11","0","0","0","0","0","0","0","0","0","0","0","11"
"National Indian Gaming Commission","Agency Overall","2020","9","8","0","7","0","2","0","0","0","0","1","0","27"
"National Railroad Passenger Corporation","Agency Overall","2020","39","55","16","21","0","93","4","2","0","0","2","1","233"
"National Archives and Records Administration","Agency Overall","2020","719","22404","15","1977","116","33","9","134","81","5","36","192","25721"
"Department of Education","Agency Overall","2020","309","1222","104","240","6","222","27","74","0","255","60","18","2537"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","23","0","0","0","0","2","0","0","0","0","0","0","25"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","1","3","0","5","0","1","0","1","0","0","0","0","11"
"National Capital Planning Commission","Agency Overall","2020","3","1","0","5","0","0","0","0","0","0","0","0","9"
"National Labor Relations Board","Agency Overall","2020","226","837","48","70","0","128","28","18","10","1","27","0","1393"
"Department of the Treasury","Agency Overall","2020","3373","2311","516","926","211","479","55","182","1863","232","1099","13","11260"
"U.S. Railroad Retirement Board","Agency Overall","2020","51","0","9","15","1","0","1","0","0","2","1","0","80"
"Commission of Fine Arts","Agency Overall","2020","2","2","0","4","0","0","0","2","0","0","0","0","10"
"U.S. Commission on Civil Rights","Agency Overall","2020","5","3","0","29","2","0","0","2","0","1","0","0","42"
"United States Access Board","Agency Overall","2020","2","10","1","14","1","3","0","0","0","0","0","0","31"
"Office of the United States Trade Representative","Agency Overall","2020","25","82","3","38","1","1","0","5","0","0","0","0","155"
"Occupational Safety and Health Review Commission","Agency Overall","2020","26","13","0","32","0","37","0","0","0","0","0","0","108"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","3","5","17","33","0","3","0","1","18","1","0","9","90"
"Office of the Director of National Intelligence","Agency Overall","2020","38","199","25","86","2","15","0","3","3","1","3","31","406"
"Federal Communications Commission","Agency Overall","2020","71","251","20","100","1","80","20","15","2","9","2","8","579"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","10","14","2","9","0","6","0","1","0","4","0","0","46"
"Department of Commerce","Agency Overall","2020","426","465","74","232","12","373","76","36","62","95","181","76","2108"
