"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Federal Labor Relations Authority","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Open Market Committee","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2020","2020-08-06","38","2020-06-24","68","2020-06-02","84","2020-02-04","167","2018-12-03","457","2018-05-22","590","2018-05-21","591","2018-01-22","675","2017-11-03","726","2017-05-09","850"
"Department of Agriculture","Agency Overall","2020","2017-12-19","696","2017-06-02","833","2017-04-27","858","2017-04-07","872","2017-04-04","875","2016-07-13","1055","2015-07-01","1314","2015-05-11","1350","2014-04-30","1608","2014-03-17","1640"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-09-08","16"
"Federal Energy Regulatory Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commodity Futures Trading Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Armed Forces Retirement Home","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Presidio Trust","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Reserve System","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-09-09","16","2020-08-25","26","2020-06-19","73","2020-06-19","73","2020-05-15","97"
"Consumer Financial Protection Bureau","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Tennessee Valley Authority","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Financial Institutions Examination Council","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-09-23","5","2019-09-30","251","2018-09-12","512","2017-05-26","837"
"Inter-American Foundation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Legal Services Corporation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Justice","Agency Overall","2020","2019-04-15","368","2019-04-15","368","2019-04-15","368","2019-04-15","368","2019-04-12","369","2019-04-12","369","2019-04-08","373","2019-03-28","380","2019-03-04","398","2019-03-01","399"
"Office of Special Counsel","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Maritime Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Securities and Exchange Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-09-29","1"
"Department of Transportation","Agency Overall","2020","2016-08-23","1029","2016-08-23","1029","2016-08-23","1029","2016-08-23","1029","2016-08-17","1033","2015-11-24","1217","2015-11-19","1220","2015-11-19","1220","2015-09-08","1262","2015-07-17","1306"
"Department of the Interior","Agency Overall","2020","2015-03-09","1390","2015-02-12","1406","2015-02-10","1408","2015-01-28","1417","2015-01-15","1425","2015-01-05","1433","2014-11-19","1460","2014-11-19","1460","2014-11-19","1460","2014-11-07","1467"
"United States International Trade Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Homeland Security","Agency Overall","2020","2017-09-25","788","2017-08-24","810","2017-08-24","810","2017-06-09","864","2017-04-28","894","2017-01-04","938","2016-09-29","1045","2016-07-11","1059","2016-06-01","1131","2016-02-04","1201"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-11-23","221"
"Denali Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2020","2019-10-16","238","2019-10-09","242","2019-07-30","292","2019-06-18","321","2019-02-12","409","2019-02-11","410","2018-12-21","441","2018-04-19","610","2017-08-02","785","2017-03-28","874"
"National Archives and Records Administration","Agency Overall","2020","2015-06-03","1331","2015-05-04","1352","2015-01-06","1433","2014-10-06","1494","2014-08-26","1522","2014-05-22","1588","2014-04-24","1608","2014-03-14","1636","2013-07-12","1803","2012-10-26","1988"
"Department of Education","Agency Overall","2020","2018-05-02","604","2018-01-26","670","2018-01-19","675","2018-01-05","684","2017-12-08","702","2017-10-16","739","2017-10-02","748","2017-09-26","752","2017-09-06","766","2014-03-07","1641"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Capital Planning Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Labor Relations Board","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Treasury","Agency Overall","2020","2016-09-06","1022","2015-12-07","1211","2015-10-01","1255","2013-06-10","1836","2012-06-19","2082","2012-06-18","2083","2012-03-26","2143","2011-11-03","2245","2011-09-01","2290","2011-07-15","2324"
"U.S. Railroad Retirement Board","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commission of Fine Arts","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Access Board","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-01-29","171"
"Office of the Director of National Intelligence","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-02-25","154","2019-07-26","298","2019-01-15","432","2014-10-15","1497"
"Federal Communications Commission","Agency Overall","2020","2020-08-20","28","2020-08-03","41","2020-08-03","41","2020-07-10","57","2020-07-10","57","2020-05-04","104","2020-04-23","111","2020-03-27","130","2019-08-15","282","2018-10-01","499"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Commerce","Agency Overall","2020","2016-02-18","1158","2015-10-15","1242","2015-09-30","1252","2015-03-09","1396","2015-02-24","1405","2014-08-15","1533","2014-02-11","1663","2013-04-26","1861","2013-01-28","1924","2012-11-02","1980"
"Office of National Drug Control Policy","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Credit Union Administration","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2020","n/a","0","n/a","0","n/a","0","n/a","0","n/a","0","n/a","0","n/a","0","n/a","0","n/a","0","n/a","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-05-22","91"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. International Development Finance Corporation","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2020","2020-09-10","14","2020-09-10","14","2020-09-10","14","2020-09-08","16","2020-09-08","16","2020-09-04","17","2020-09-03","18","2020-09-03","18","2020-09-02","19","2020-07-31","42"
"Small Business Administration","Agency Overall","2020","2020-04-06","124","2020-03-03","148","2020-02-26","152","2020-02-18","158","2020-02-10","163","2020-01-24","174","2020-01-24","174","2019-12-17","198","2019-12-12","201","2019-11-27","211"
"Appraisal Subcommittee","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2020","2020-09-14","13","2020-09-11","14","2020-09-09","16","2020-08-24","27","2020-08-05","40","2020-08-04","41","2020-07-14","56","2020-06-23","70","2019-08-17","274","2019-08-20","278"
"Marine Mammal Commission","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","N/A"
