"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Federal Labor Relations Authority","Agency Overall","2020","0","0","0","0","1","1","1","0","1","1","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2020","0","0","2","3","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2020","0","8","27","365","173","481","10","5","26","1","9","120","0","0"
"Department of Agriculture","Agency Overall","2020","0","19","392","743","701","2323","67","6","893","111","195","108","1","4"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","0","0","7","25","12","380","1","0","2","0","2","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2020","0","0","11","3","25","27","0","0","0","0","0","1","0","0"
"Commodity Futures Trading Commission","Agency Overall","2020","0","0","25","41","27","46","18","0","8","3","1","0","1","0"
"Armed Forces Retirement Home","Agency Overall","2020","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2020","0","0","0","1","1","6","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2020","0","0","4","46","29","46","0","0","4","1","6","0","25","0"
"Consumer Financial Protection Bureau","Agency Overall","2020","0","7","3","35","68","164","20","0","11","6","29","1","15","0"
"Tennessee Valley Authority","Agency Overall","2020","0","0","8","34","36","70","8","0","12","1","4","5","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2020","0","0","174","40","50","134","29","0","11","2","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2020","0","0","3","23","15","31","18","0","41","1","9","24","0","0"
"Inter-American Foundation","Agency Overall","2020","0","2","0","1","1","2","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2020","0","2","1","1","0","6","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2020","0","0","0","0","0","2","2","0","1","1","0","0","0","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2020","441","330","2067","397","1726","9703","1361","38","8600","1891","5003","1547","4","0"
"Office of Special Counsel","Agency Overall","2020","0","0","2","0","64","96","8","2","98","18","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2020","0","0","5","4","5","2","0","0","2","0","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2020","0","3","59","535","240","494","480","3","306","16","15","1","28","0"
"Department of Transportation","Agency Overall","2020","0","16","576","252","648","4247","119","1","1689","481","20","15","0","0"
"Department of the Interior","Agency Overall","2020","0","30","59","123","575","1166","137","4","507","28","44","16","0","1"
"United States International Trade Commission","Agency Overall","2020","0","0","1","2","2","5","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2020","13","491","44858","787","35504","179586","313","248","199990","90","201074","244","2","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","0","0","0","0","2","5","0","0","0","2","2","0","0","0"
"Denali Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2020","0","0","0","5","2","3","0","0","3","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2020","0","3","0","24","14","35","5","0","18","0","5","0","0","0"
"National Archives and Records Administration","Agency Overall","2020","175","16","171","11","24","229","2","0","79","154","54","16","0","0"
"Department of Education","Agency Overall","2020","0","3","20","207","228","1215","193","6","750","14","29","6","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2020","0","4","1","47","173","782","264","0","772","116","1","3","0","0"
"Department of the Treasury","Agency Overall","2020","1","23","1728","163","365","859","319","2","663","11","799","9","32","0"
"U.S. Railroad Retirement Board","Agency Overall","2020","0","0","30","1","0","30","0","1","0","0","0","0","0","0"
