"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Federal Labor Relations Authority","Agency Overall","2020","9","99","107","1"
"Federal Open Market Committee","Agency Overall","2020","0","19","19","0"
"General Services Administration","Agency Overall","2020","537","1352","1429","460"
"Department of Agriculture","Agency Overall","2020","7144","22810","23103","6851"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","205","3495","3525","175"
"Federal Energy Regulatory Commission","Agency Overall","2020","51","73","71","53"
"Commodity Futures Trading Commission","Agency Overall","2020","15","178","184","9"
"Armed Forces Retirement Home","Agency Overall","2020","0","2","2","0"
"Presidio Trust","Agency Overall","2020","0","14","13","1"
"Federal Reserve System","Agency Overall","2020","35","630","615","50"
"Consumer Financial Protection Bureau","Agency Overall","2020","218","330","411","137"
"Tennessee Valley Authority","Agency Overall","2020","16","259","239","36"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","11","11","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","2","2","0"
"Consumer Product Safety Commission","Agency Overall","2020","558","460","506","512"
"Nuclear Regulatory Commission","Agency Overall","2020","91","289","288","92"
"Inter-American Foundation","Agency Overall","2020","2","8","10","0"
"United States International Boundary and Water Commission","Agency Overall","2020","15","53","40","28"
"Legal Services Corporation","Agency Overall","2020","0","14","13","1"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","1","11","10","2"
"Department of Justice","Agency Overall","2020","33731","86729","84442","36018"
"Office of Special Counsel","Agency Overall","2020","96","144","193","47"
"Federal Maritime Commission","Agency Overall","2020","2","21","21","2"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","2","0","2"
"Securities and Exchange Commission","Agency Overall","2020","599","13300","13258","641"
"Department of Transportation","Agency Overall","2020","6368","14632","15433","5567"
"Department of the Interior","Agency Overall","2020","4685","5977","5906","4756"
