"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Federal Labor Relations Authority","Agency Overall","2020","N/A","N/A","N/A","0"
"Federal Open Market Committee","Agency Overall","2020","12 U.S.C. § 248(s)(1)","N/A","Transaction data governed by section 11(s) of the Federal Reserve Act","2"
"General Services Administration","Agency Overall","2020","54 U.S.C. § 100707 (formerly at 16 U.S.C. § 5937)","Hornbostel v. U.S. Dep’t of the Interior, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Sw. Ctr. for Biological Diversity v. USDA, 314 F.3d 1060, 1062 (9th Cir. 2002); Pease v. U.S. Dep’t of Interior, No. 1:99CV113, slip op. at 2, 4 (D. Vt. Sept. 17, 1999).","Information pertaining to: “endangered, threatened, rare, or commercially valuable” National Park System resources; “mineral or paleontological objects within units of the National Park System”; or “objects of cultural patrimony within units of the National Park System”","1"
"General Services Administration","Agency Overall","2020","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive
agency and that have not been set forth or incorporated by reference into contracts.
","15"
"General Services Administration","Agency Overall","2020","31 U.S.C. § 3730(b)(2)","N/A","Records pertaining to civil actions for false claims against
the United States Government.
","7"
"General Services Administration","Agency Overall","2020","41 U.S.C. § 2102 (amending 41 U.S.C. § 423 (a)(1))","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information.","8"
"Department of Agriculture","Agency Overall","2020","16 U.S.C. § 470hh ","Hornbostel v. U.S. Dep’t of the
Interior, 305 F. Supp. 2d 21, 30
(D.D.C. 2003), summary
affirmance granted, No. 03-
5257, 2004 WL 1900562 (D.C.
Cir. Aug. 25, 2004); Starkey v.
U.S. Dep’t of the Interior, 238
F. Supp. 2d 1188, 1193-94
(S.D. Cal. 2002). ","Information pertaining to the nature and location of certain archaeological resources.","33"
"Department of Agriculture","Agency Overall","2020","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkerfield v. HUD, No. 10-885, 2012 U.S. Dist. Lexis 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel V. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","15"
"Department of Agriculture","Agency Overall","2020","7 U.S.C. § 1502(c)(1) ","Bush v. U.S. Dep’t of Agric., No. 16-4128, 2017 WL
3568672, at *7 (N.D. Iowa Aug. 17, 2017).","Certain information furnished by a producer under the Federal Crop Insurance Act.","17"
"Department of Agriculture","Agency Overall","2020","7 U.S.C. § 8791(b)(2)","Cent. Platte Nat. Res. Dist. V. U.S. Dep't of Agric., 643 F.3d 1142, 1147-48 (8th Circ. 2011); Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-38 (D.D.C. 2009).","""[I]nformation provided by an agricultural producer or owner of agricultural land concerning the agricultural operation, farming or conservation practices, or the land itself, in order to participate in programs of the Department"" or ""geospatial information...maintained by the Secretary about agricultural land or operations.""","287"
"Department of Agriculture","Agency Overall","2020","5 U.S.C. § 574(j)","N/A","Dispute resolution communications.","2"
"Department of Agriculture","Agency Overall","2020","7 U.S.C. § 2276(a)(2) ","Strunk v. U.S. Dept. of Interior, 752 F. Supp. 2d 39, 44-45 (D.D.C. 2010).","""[I]nformation furnished under a provision of law referred to in subsection (d) of this section…unless such information has been transformed into a statistical or aggregate form that does not allow the identification.""","34"
"Department of Agriculture","Agency Overall","2020","15 U.S.C. § 638(k)(4)","N/A","Information contained within a Small Business Innovative Research (SBIR) and Small Business Technology Transfer (STTR) program evaluation databases 
","3"
"Department of Agriculture","Agency Overall","2020","Fed. R. Crim. P. 6(e)¸ enacted by Act of July 30¸ 1977¸ Pub. L. No. 95-78¸ 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","29 U.S.C. § 1310(c)","N/A","Any information or documentary material submitted to the [agency] pursuant to . . . section [1310 of title 29 of the United States Code]","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","29 U.S.C. § 1343(f)","N/A","Any information or documentary material submitted to the [agency] pursuant to . . . Section [1343 of title 29 of the United States Code].","3"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1)) ","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","3"
"Federal Energy Regulatory Commission","Agency Overall","2020","16 U.S.C. § 470hh","Hornbostel v. U.S. Department of Interior, 305 F. Supp 2d 21, 30 (D.D.C 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug 25, 2004); Starkey v. U.S. Dep't of the Interior, 238 F. Supp. 2d 1188, 1193-94 (S.D. Cal. 2002).","Information pertaining to the nature and location of certain archaeological resources.","11"
"Commodity Futures Trading Commission","Agency Overall","2020","7 U.S.C. § 12(a)(1) (Commodity Exchange Act)","Hunt v. Commodity Futures Trading Comm’n, 484 F. Supp. 47, 49 (D.D.C. 1979).","""[D]ata or information which would disclose business transactions or market positions of any person and trade secrets or names of customers, and any data or information concerning or obtained in connection with any pending investigation of any person under the Commodity Exchange Act"" ","22"
"Commodity Futures Trading Commission","Agency Overall","2020","7 U.S.C. § 26(h)(2)(A)","N/A","""[A]ny information, including information provided by a whistleblower to the
Commission, which could reasonably be expected to reveal the identity of a
whistleblower, . . . unless and until required to be disclosed to a defendant or
respondent in connection with a public proceeding instituted by the
Commission or any entity described in subparagraph (C)""","5"
"Armed Forces Retirement Home","Agency Overall","2020","N/A","N/A","N/A","0"
"Presidio Trust","Agency Overall","2020","N/A","N/A","N/A","0"
"Federal Reserve System","Agency Overall","2020","12 U.S.C. § 248","N/A","Information on borrowers at the discount window","4"
"Consumer Financial Protection Bureau","Agency Overall","2020","5 U.S.C. app. 4 § 107(a)(2) (Ethics in Government Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att'ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","2"
"Consumer Financial Protection Bureau","Agency Overall","2020","18 U.S.C. § 208(d)(1)","Seife v. NIH, 874 F. Supp. 2d 248, 256 (S.D.N.Y. 2012).","Providing that “a copy of any determination granting an exemption under subsection (b)(1) or (b)(3) [from application of penalties for acts affecting personal financial interests determined to constitute bribery, graft, or conflicts of interest] shall be made available to the public,” but exempting from this disclosure requirement “any information contained in the determination that would be exempt from disclosure under section 552 of title 5”","3"
"Tennessee Valley Authority","Agency Overall","2020","5 U.S.C. app. 4 § 107(a)(2)(Ethics in Government Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Boyd v. Exec. Off. for U.S. Att'ys, 161 F. Supp. 3d 1, 7 (D.D.C. 2015); Seife v. NIH, 874 F. Supp. 2d 248, 254 (S.D.N.Y. 2012).","Confidential financial disclosure report pertaining to certain government employees","2"
"Tennessee Valley Authority","Agency Overall","2020","41 U.S.C. § 4702 (formerly at 41 U.S.C. § 253b(m)(1))","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","6"
"Federal Financial Institutions Examination Council","Agency Overall","2020","N/A","N/A","N/A","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","N/A","N/A","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2020","15 U.S.C. § 2074(c)","N/A","Information that identifies persons or those treating injured persons, absent consent","82"
"Consumer Product Safety Commission","Agency Overall","2020","15 U.S.C. § 2055(a)(2)(Consumer Product Safety Act)","Consumer Prod. Safety Comm’n v. GTE Sylvania, Inc., 447 U.S. 102, 122 (1980) (15 U.S.C. § 2055(b)(1)); Mulloy v. Consumer Prods. Safety Comm’n, No. 85-3720, 1986 WL 17283, at *1 (6th Cir. July 22, 1986) (per curiam) (unpublished disposition) (15 U.S.C. § 2055(a)(2) and 15 U.S.C. § 2055(b)(5)); Reliance Elec. Co. v. Consumer Prod. Safety Comm’n, No. 87-1478, slip op. at 16-17 (D.D.C. Sept. 19, 1989) (15 U.S.C. § 2055(b)(5)).","Certain information reported to, or otherwise obtained by, the Consumer Product Safety Commission which either contains or relates to a trade secret or is “subject to section 552(b)(4) of Title 5”","49"
