"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Federal Labor Relations Authority","Agency Overall","2020","0","0"
"Federal Open Market Committee","Agency Overall","2020","0","0"
"General Services Administration","Agency Overall","2020","355","11"
"Department of Agriculture","Agency Overall","2020","2546","814"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2020","21","0"
"Commodity Futures Trading Commission","Agency Overall","2020","6","0"
"Armed Forces Retirement Home","Agency Overall","2020","0","0"
"Presidio Trust","Agency Overall","2020","0","0"
"Federal Reserve System","Agency Overall","2020","17","4"
"Consumer Financial Protection Bureau","Agency Overall","2020","124","0"
"Tennessee Valley Authority","Agency Overall","2020","17","0"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0"
"Consumer Product Safety Commission","Agency Overall","2020","407","0"
"Nuclear Regulatory Commission","Agency Overall","2020","81","3"
"Inter-American Foundation","Agency Overall","2020","0","0"
"United States International Boundary and Water Commission","Agency Overall","2020","28","0"
"Legal Services Corporation","Agency Overall","2020","0","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","2","0"
"Department of Justice","Agency Overall","2020","29933","443"
"Office of Special Counsel","Agency Overall","2020","14","0"
"Federal Maritime Commission","Agency Overall","2020","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","2","0"
"Securities and Exchange Commission","Agency Overall","2020","183","0"
"Department of Transportation","Agency Overall","2020","4272","126"
"Department of the Interior","Agency Overall","2020","4267","404"
"United States International Trade Commission","Agency Overall","2020","0","0"
"Department of Homeland Security","Agency Overall","2020","36350","354"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","1","1"
"Denali Commission","Agency Overall","2020","0","0"
"National Indian Gaming Commission","Agency Overall","2020","1","0"
"National Railroad Passenger Corporation","Agency Overall","2020","57","11"
"National Archives and Records Administration","Agency Overall","2020","3511","99"
"Department of Education","Agency Overall","2020","859","55"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","0","0"
"National Capital Planning Commission","Agency Overall","2020","0","0"
"National Labor Relations Board","Agency Overall","2020","3","0"
"Department of the Treasury","Agency Overall","2020","2123","49"
"U.S. Railroad Retirement Board","Agency Overall","2020","1","0"
"Commission of Fine Arts","Agency Overall","2020","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","0"
"United States Access Board","Agency Overall","2020","1","0"
"Office of the United States Trade Representative","Agency Overall","2020","2","0"
"Occupational Safety and Health Review Commission","Agency Overall","2020","2","0"
