"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Federal Labor Relations Authority","Agency Overall","2020","93","99","84","107"
"Federal Open Market Committee","Agency Overall","2020","26","19","26","19"
"General Services Administration","Agency Overall","2020","1461","1352","1355","1429"
"Department of Agriculture","Agency Overall","2020","26458","22810","26094","23103"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","2348","3495","2232","3525"
"Federal Energy Regulatory Commission","Agency Overall","2020","117","73","114","71"
"Commodity Futures Trading Commission","Agency Overall","2020","138","178","164","184"
"Armed Forces Retirement Home","Agency Overall","2020","7","2","7","2"
"Presidio Trust","Agency Overall","2020","5","14","5","13"
"Federal Reserve System","Agency Overall","2020","562","630","561","615"
"Consumer Financial Protection Bureau","Agency Overall","2020","484","330","435","411"
"Tennessee Valley Authority","Agency Overall","2020","187","259","197","239"
"Federal Financial Institutions Examination Council","Agency Overall","2020","11","11","11","11"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","4","2","4","2"
"Consumer Product Safety Commission","Agency Overall","2020","505","460","316","506"
"Nuclear Regulatory Commission","Agency Overall","2020","369","289","510","288"
"Inter-American Foundation","Agency Overall","2020","11","8","10","10"
"United States International Boundary and Water Commission","Agency Overall","2020","61","53","54","40"
"Legal Services Corporation","Agency Overall","2020","22","14","26","13"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","1","11","0","10"
"Department of Justice","Agency Overall","2020","95119","86729","88668","84442"
"Office of Special Counsel","Agency Overall","2020","149","144","183","193"
"Federal Maritime Commission","Agency Overall","2020","22","21","23","21"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","0","2","0","0"
"Securities and Exchange Commission","Agency Overall","2020","11546","13300","11487","13258"
"Department of Transportation","Agency Overall","2020","16571","14632","14621","15433"
"Department of the Interior","Agency Overall","2020","7973","5977","6782","5906"
"United States International Trade Commission","Agency Overall","2020","31","30","31","33"
"Department of Homeland Security","Agency Overall","2020","400245","397671","429798","392623"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","30","29","32","29"
"Denali Commission","Agency Overall","2020","4","11","4","11"
"National Indian Gaming Commission","Agency Overall","2020","37","29","47","27"
"National Railroad Passenger Corporation","Agency Overall","2020","213","234","191","233"
"National Archives and Records Administration","Agency Overall","2020","67466","25738","68062","25721"
"Department of Education","Agency Overall","2020","2447","2384","2367","2537"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","25","25","25","25"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","2","7","1","11"
"National Capital Planning Commission","Agency Overall","2020","8","9","8","9"
"National Labor Relations Board","Agency Overall","2020","1370","1327","1420","1393"
"Department of the Treasury","Agency Overall","2020","11936","11916","11921","11260"
"U.S. Railroad Retirement Board","Agency Overall","2020","102","79","109","80"
"Commission of Fine Arts","Agency Overall","2020","5","10","5","10"
"U.S. Commission on Civil Rights","Agency Overall","2020","28","42","28","42"
"United States Access Board","Agency Overall","2020","34","24","26","31"
"Office of the United States Trade Representative","Agency Overall","2020","136","155","138","155"
"Occupational Safety and Health Review Commission","Agency Overall","2020","89","94","70","108"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","33","93","34","90"
"Office of the Director of National Intelligence","Agency Overall","2020","503","527","464","406"
"Federal Communications Commission","Agency Overall","2020","700","572","703","579"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","55","43","50","46"
"Department of Commerce","Agency Overall","2020","2391","2017","2017","2108"
"Office of National Drug Control Policy","Agency Overall","2020","68","53","70","48"
