"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Labor Relations Authority","Agency Overall","2020","8","11.53","<1","79","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2020","2.5","6.4","<1","20","60.5","60.5","46","75","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2020","13.0","18.76","<1","682","50.00","80.08","19","804","77.0","139.94","0","375"
"Department of Agriculture","Agency Overall","2020","<1","20.79","<1","1675","40","148.54","<1","1782","4","90.29","<1","900"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","12.0","15.41","<1","74","19.0","25.38","<1","163","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2020","17","17","6","30","29","29","27","31","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2020","6","12","<1","88","42","101","3","572","34","34","34","34"
"Armed Forces Retirement Home","Agency Overall","2020","7","13","13","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2020","2","4","1","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2020","9","13","1","247","32","53","1","784","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2020","15","15.59","1","75","158","197.33","8","656","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2020","9","14.55","1","113","85","85.55","19","268","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2020","2","2","2","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2020","51","142.75","2","586","180","242.68","5","841","252","213.33","14","374"
"Nuclear Regulatory Commission","Agency Overall","2020","16","19.2","<1","94","106.5","227.64","13","960","6","47.5","3","175"
"Inter-American Foundation","Agency Overall","2020","17","22.3","13","37","533","533","279","787","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2020","21.5","36.16","1","175","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2020","10.5","11.62","1","25","N/A","N/A","N/A","N/A","25","25","25","25"
